name,position,team,GW,OPP,Pts,Mins.P,Gls_S,Assists,Cln_Sht,Gls_Csd,Own_gls,Pen_Sc,Pen_Msd,YC,RC,Saves,Bonus,BPS,Inf,Crt,Thrt,ICT,Net_T,SB,price_£
Bruno Miguel Borges Fernandes,Midfielder,Man Utd,31,TOT (A) 1 - 3,2,89,0,0,0,1,0,0,0,0,0,0,0,12,11.8,20.1,13.0,4.5,-35581,4724095,11.6
Harry Kane,Forward,Spurs,31,MUN (H) 1 - 3,2,90,0,0,0,3,0,0,0,0,0,0,0,0,9.2,3.7,32.0,4.5,140775,3982781,11.7
Heung-Min Son,Midfielder,Spurs,31,MUN (H) 1 - 3,7,90,1,0,0,3,0,0,0,0,0,0,0,29,42.8,39.0,48.0,13.0,-82660,3426980,9.4
Mohamed Salah,Midfielder,Liverpool,31,AVL (H) 2 - 1,7,90,1,0,0,1,0,0,0,0,0,0,0,21,36.2,16.8,116.0,16.9,167181,2534543,12.4
Emiliano Martínez,Goalkeeper,Aston Villa,31,LIV (A) 2 - 1,4,90,0,0,0,2,0,0,0,0,0,8,1,26,59.6,0.0,0.0,6.0,-100718,3284469,5.4
Patrick Bamford,Forward,Leeds,31,MCI (A) 1 - 2,4,45,0,1,0,0,0,0,0,0,0,0,0,12,17.4,10.3,2.0,3.0,-314115,3681878,6.6
Jamie Vardy,Forward,Leicester,31,WHU (A) 3 - 2,2,90,0,0,0,3,0,0,0,0,0,0,0,4,6.2,17.8,27.0,5.1,50825,1565862,10.1
Marcus Rashford,Midfielder,Man Utd,31,TOT (A) 1 - 3,2,71,0,0,0,1,0,0,0,0,0,0,0,7,1.8,2.3,20.0,2.4,-4606,718090,9.5
Ollie Watkins,Forward,Aston Villa,31,LIV (A) 2 - 1,8,90,1,0,0,2,0,0,0,1,0,0,3,28,46.8,34.1,25.0,10.6,-145885,2016780,6.6
Stuart Dallas,Defender,Leeds,31,MCI (A) 1 - 2,17,90,2,0,0,1,0,0,0,0,0,0,3,34,72.8,1.3,14.0,8.8,-199105,1877510,5.1
