name,position,team,GW,OPP,Pts,Mins.P,Gls_S,Assists,Cln_Sht,Gls_Csd,Own_gls,Pen_Sc,Pen_Msd,YC,RC,Saves,Bonus,BPS,Inf,Crt,Thrt,ICT,Net_T,SB,price_£
Bruno Miguel Borges Fernandes,Midfielder,Man Utd,21,ARS (A) 0 - 0,3,90,0,0,1,0,0,0,0,0,0,0,0,8,7.0,16.3,18.0,4.1,-57421,4435441,11.4
Harry Kane,Forward,Spurs,21,BHA (A) 1 - 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-1299896,2453093,11.2
Heung-Min Son,Midfielder,Spurs,21,BHA (A) 1 - 0,2,90,0,0,0,1,0,0,0,0,0,0,0,12,11.6,27.3,19.0,5.8,75327,4730468,9.8
Mohamed Salah,Midfielder,Liverpool,21,WHU (A) 1 - 3,15,90,2,0,0,1,0,0,0,0,0,0,3,47,75.0,18.1,83.0,17.6,45974,3022589,12.5
Emiliano Martínez,Goalkeeper,Aston Villa,21,SOU (A) 0 - 1,10,90,0,0,1,0,0,0,0,0,0,4,3,28,33.2,0.0,0.0,3.3,1517,2594223,5.1
Patrick Bamford,Forward,Leeds,21,LEI (A) 1 - 3,15,90,1,2,0,1,0,0,0,0,0,0,3,56,74.2,35.3,56.0,16.6,-254226,3704188,6.6
Jamie Vardy,Forward,Leicester,21,LEE (H) 1 - 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-294001,1159635,10.0
Marcus Rashford,Midfielder,Man Utd,21,ARS (A) 0 - 0,3,79,0,0,1,0,0,0,0,0,0,0,0,9,2.6,8.1,13.0,2.4,-115240,866131,9.6
Ollie Watkins,Forward,Aston Villa,21,SOU (A) 0 - 1,2,90,0,0,1,0,0,0,0,0,0,0,0,-3,16.6,3.4,68.0,8.8,323454,1311988,6.2
Stuart Dallas,Defender,Leeds,21,LEI (A) 1 - 3,7,90,1,0,0,1,0,0,0,1,0,0,0,17,37.0,5.8,17.0,6.0,-90240,1024176,4.8
Dominic Calvert-Lewin,Forward,Everton,21,NEW (H) 0 - 2,2,90,0,0,0,2,0,0,0,0,0,0,0,2,11.2,16.8,29.0,5.7,884381,3053662,7.6
Illan Meslier,Goalkeeper,Leeds,21,LEI (A) 1 - 3,4,90,0,0,0,1,0,0,0,0,0,7,0,24,39.0,0.0,0.0,3.9,-13957,453699,4.7
Ederson Santana de Moraes,Goalkeeper,Man City,21,SHU (H) 1 - 0,6,90,0,0,1,0,0,0,0,0,0,1,0,21,8.0,0.0,0.0,0.8,44317,623718,6.0
Ilkay Gündogan,Midfielder,Man City,21,SHU (H) 1 - 0,3,90,0,0,1,0,0,0,0,0,0,0,0,17,11.8,50.8,6.0,6.9,674097,1445880,5.8
James Ward-Prowse,Midfielder,Southampton,21,AVL (H) 0 - 1,1,90,0,0,0,1,0,0,0,1,0,0,0,17,18.4,38.0,10.0,6.6,-68885,742796,6.1
Mason Mount,Midfielder,Chelsea,21,BUR (H) 2 - 0,3,79,0,0,1,0,0,0,0,0,0,0,0,14,11.0,38.9,15.0,6.5,-37592,381304,6.8
Raheem Sterling,Midfielder,Man City,21,SHU (H) 1 - 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,235631,999753,11.6
Aaron Cresswell,Defender,West Ham,21,LIV (H) 1 - 3,4,90,0,1,0,3,0,0,0,0,0,0,0,21,14.4,0.8,2.0,1.7,63371,1583952,5.5
Nick Pope,Goalkeeper,Burnley,21,CHE (A) 2 - 0,3,90,0,0,0,2,0,0,0,0,0,7,0,23,47.0,0.0,0.0,4.7,15601,869008,5.4
Sadio Mané,Midfielder,Liverpool,21,WHU (A) 1 - 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,117267,679060,11.8
Rúben Santos Gato Alves Dias,Defender,Man City,21,SHU (H) 1 - 0,8,90,0,0,1,0,0,0,0,0,0,0,2,27,21.4,2.3,7.0,3.1,94881,1302119,5.9
Hugo Lloris,Goalkeeper,Spurs,21,BHA (A) 1 - 0,2,90,0,0,0,1,0,0,0,0,0,2,0,12,15.2,0.0,0.0,1.5,-2274,569246,5.6
Jack Harrison,Midfielder,Leeds,21,LEI (A) 1 - 3,9,90,1,0,0,1,0,0,0,0,0,0,2,28,46.8,10.5,34.0,9.1,-19139,159231,5.4
Riyad Mahrez,Midfielder,Man City,21,SHU (H) 1 - 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,37592,293909,8.1
Aaron Wan-Bissaka,Defender,Man Utd,21,ARS (A) 0 - 0,8,90,0,0,1,0,0,0,0,1,0,0,3,32,27.2,28.3,6.0,6.2,-33749,780782,5.4
Matheus Pereira,Midfielder,West Brom,21,FUL (H) 2 - 2,13,90,1,1,0,2,0,0,0,0,0,0,3,35,36.8,7.1,18.0,6.2,17906,89542,5.6
Tomas Soucek,Midfielder,West Ham,21,LIV (H) 1 - 3,1,90,0,0,0,3,0,0,0,1,0,0,0,10,8.6,1.0,4.0,1.4,40096,1442893,5.3
Sam Johnstone,Goalkeeper,West Brom,21,FUL (H) 2 - 2,2,90,0,0,0,2,0,0,0,0,0,5,0,19,35.0,0.0,0.0,3.5,-2192,219940,4.5
Jarrod Bowen,Midfielder,West Ham,21,LIV (H) 1 - 3,2,78,0,0,0,2,0,0,0,0,0,0,0,7,8.6,32.1,0.0,4.1,-36002,208671,6.2
Jack Grealish,Midfielder,Aston Villa,21,SOU (A) 0 - 1,6,90,0,1,1,0,0,0,0,0,0,0,0,17,27.4,18.3,8.0,5.4,24148,2988917,7.7
