name,position,team,GW,OPP,Pts,Mins.P,Gls_S,Assists,Cln_Sht,Gls_Csd,Own_gls,Pen_Sc,Pen_Msd,YC,RC,Saves,Bonus,BPS,Inf,Crt,Thrt,ICT,Net_T,SB,price_£
Bruno Miguel Borges Fernandes,Midfielder,Man Utd,27,MCI (A) 0 - 2,10,90,1,0,1,0,0,0,0,0,0,0,2,33,40.4,12.7,17.0,7.0,-300771,4576726,11.6
Harry Kane,Forward,Spurs,27,CRY (H) 4 - 1,19,79,2,2,0,1,0,0,0,0,0,0,3,80,107.0,34.2,60.0,20.1,165278,2779044,11.2
Heung-Min Son,Midfielder,Spurs,27,CRY (H) 4 - 1,5,90,0,1,0,1,0,0,0,0,0,0,0,18,25.0,15.0,22.0,6.2,248696,4448091,9.5
Mohamed Salah,Midfielder,Liverpool,27,FUL (H) 0 - 1,2,90,0,0,0,1,0,0,0,0,0,0,0,-2,0.0,4.6,62.0,6.3,-178728,3157978,12.6
Emiliano Martínez,Goalkeeper,Aston Villa,27,WOL (H) 0 - 0,7,90,0,0,1,0,0,0,0,0,0,2,1,23,20.4,0.0,0.0,2.0,89029,3221664,5.3
Patrick Bamford,Forward,Leeds,27,WHU (A) 2 - 0,2,90,0,0,0,2,0,0,0,0,0,0,0,-2,0.0,11.6,27.0,3.6,-53027,4204947,6.8
Jamie Vardy,Forward,Leicester,27,BHA (A) 1 - 2,2,90,0,0,0,1,0,0,0,0,0,0,0,7,5.0,15.1,7.0,2.7,-32641,1636044,10.2
Marcus Rashford,Midfielder,Man Utd,27,MCI (A) 0 - 2,6,72,0,1,1,0,0,0,0,0,0,0,0,15,24.0,14.9,17.0,5.6,-89792,898689,9.6
Ollie Watkins,Forward,Aston Villa,27,WOL (H) 0 - 0,2,90,0,0,1,0,0,0,0,0,0,0,0,2,3.2,3.3,68.0,7.5,-8901,2177416,6.6
Stuart Dallas,Defender,Leeds,27,WHU (A) 2 - 0,1,90,0,0,0,2,0,0,0,0,0,0,0,14,20.8,30.1,8.0,5.9,45954,1749787,5.0
Dominic Calvert-Lewin,Forward,Everton,27,CHE (A) 2 - 0,2,90,0,0,0,2,0,0,0,0,0,0,0,5,0.6,0.8,4.0,0.5,-216494,3273175,7.8
Illan Meslier,Goalkeeper,Leeds,27,WHU (A) 2 - 0,9,90,0,0,0,2,0,1,0,0,0,3,2,36,41.0,0.0,0.0,4.1,2045,451902,4.6
Ederson Santana de Moraes,Goalkeeper,Man City,27,MUN (H) 0 - 2,2,90,0,0,0,2,0,0,0,0,0,4,0,16,31.0,0.0,0.0,3.1,7524,829937,6.1
Ederson Santana de Moraes,Goalkeeper,Man City,27,SOU (H) 5 - 2,2,90,0,0,0,2,0,0,0,0,0,4,0,20,30.2,0.0,0.0,3.0,7524,829937,6.1
Ilkay Gündogan,Midfielder,Man City,27,MUN (H) 0 - 2,2,90,0,0,0,2,0,0,0,0,0,0,0,17,18.8,46.9,37.0,10.3,133344,3113365,6.2
Ilkay Gündogan,Midfielder,Man City,27,SOU (H) 5 - 2,8,90,1,0,0,2,0,0,0,0,0,0,1,43,56.0,36.8,33.0,12.6,133344,3113365,6.2
James Ward-Prowse,Midfielder,Southampton,27,SHU (A) 0 - 2,11,90,1,0,1,0,0,0,0,0,0,0,3,36,40.8,1.8,17.0,6.0,137739,728610,5.9
James Ward-Prowse,Midfielder,Southampton,27,MCI (A) 5 - 2,7,90,1,0,0,5,0,0,0,0,0,0,0,35,50.4,33.8,32.0,11.6,137739,728610,5.9
Mason Mount,Midfielder,Chelsea,27,EVE (H) 2 - 0,1,24,0,0,0,0,0,0,0,0,0,0,0,7,16.2,26.0,15.0,5.7,402473,928092,6.9
Raheem Sterling,Midfielder,Man City,27,MUN (H) 0 - 2,2,90,0,0,0,2,0,0,0,0,0,0,0,1,3.6,14.6,33.0,5.1,-115237,851293,11.6
Raheem Sterling,Midfielder,Man City,27,SOU (H) 5 - 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-115237,851293,11.6
Aaron Cresswell,Defender,West Ham,27,LEE (H) 2 - 0,12,90,0,1,1,0,0,0,0,0,0,0,3,44,33.0,36.8,8.0,7.8,48508,2033246,5.8
Nick Pope,Goalkeeper,Burnley,27,ARS (H) 1 - 1,2,90,0,0,0,1,0,0,0,0,0,1,0,10,5.6,0.0,0.0,0.6,-38392,1146184,5.6
Sadio Mané,Midfielder,Liverpool,27,FUL (H) 0 - 1,1,28,0,0,0,0,0,0,0,0,0,0,0,-1,0.8,14.9,12.0,2.8,-5530,416464,11.8
Rúben Santos Gato Alves Dias,Defender,Man City,27,MUN (H) 0 - 2,1,90,0,0,0,2,0,0,0,0,0,0,0,16,23.0,17.3,0.0,4.0,182213,1984384,6.1
Rúben Santos Gato Alves Dias,Defender,Man City,27,SOU (H) 5 - 2,1,90,0,0,0,2,0,0,0,0,0,0,0,15,15.6,1.2,2.0,1.9,182213,1984384,6.1
Hugo Lloris,Goalkeeper,Spurs,27,CRY (H) 4 - 1,2,90,0,0,0,1,0,0,0,0,0,0,0,9,2.4,0.0,0.0,0.2,4108,526528,5.6
Jack Harrison,Midfielder,Leeds,27,WHU (A) 2 - 0,1,45,0,0,0,0,0,0,0,0,0,0,0,2,4.4,11.1,10.0,2.6,-13008,190657,5.4
Riyad Mahrez,Midfielder,Man City,27,MUN (H) 0 - 2,2,90,0,0,0,2,0,0,0,0,0,0,0,12,15.6,29.6,24.0,6.9,168145,435480,8.1
Riyad Mahrez,Midfielder,Man City,27,SOU (H) 5 - 2,18,60,2,1,0,2,0,0,0,0,0,0,3,54,71.0,20.1,32.0,12.3,168145,435480,8.1
Aaron Wan-Bissaka,Defender,Man Utd,27,MCI (A) 0 - 2,6,90,0,0,1,0,0,0,0,0,0,0,0,25,17.2,0.8,0.0,1.8,-37923,1385752,5.6
Matheus Pereira,Midfielder,West Brom,27,NEW (H) 0 - 0,3,90,0,0,1,0,0,0,0,0,0,0,0,13,13.4,32.1,23.0,6.9,-6568,142158,5.4
Tomas Soucek,Midfielder,West Ham,27,LEE (H) 2 - 0,3,90,0,0,1,0,0,0,0,0,0,0,0,13,20.4,10.8,10.0,4.1,36980,1091209,5.3
Sam Johnstone,Goalkeeper,West Brom,27,NEW (H) 0 - 0,8,90,0,0,1,0,0,0,0,0,0,5,1,31,39.4,0.0,0.0,3.9,11361,203076,4.5
Jarrod Bowen,Midfielder,West Ham,27,LEE (H) 2 - 0,1,17,0,0,0,0,0,0,0,0,0,0,0,4,6.4,0.1,7.0,1.4,-2666,129995,6.0
Jack Grealish,Midfielder,Aston Villa,27,WOL (H) 0 - 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-264495,1710723,7.6
Andrew Robertson,Defender,Liverpool,27,FUL (H) 0 - 1,2,90,0,0,0,1,0,0,0,0,0,0,0,16,12.4,19.5,6.0,3.8,-21590,1219645,7.2
João Pedro Cavaco Cancelo,Defender,Man City,27,MUN (H) 0 - 2,1,64,0,0,0,2,0,0,0,0,0,0,0,9,5.0,13.4,10.0,2.8,-136016,2016907,6.2
João Pedro Cavaco Cancelo,Defender,Man City,27,SOU (H) 5 - 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-136016,2016907,6.2
Kevin De Bruyne,Midfielder,Man City,27,MUN (H) 0 - 2,2,90,0,0,0,2,0,0,0,0,0,0,0,22,26.8,101.4,52.0,18.0,346002,1345202,11.8
Kevin De Bruyne,Midfielder,Man City,27,SOU (H) 5 - 2,14,71,2,0,0,2,0,0,0,0,0,0,2,45,72.6,17.7,73.0,16.3,346002,1345202,11.8
Edouard Mendy,Goalkeeper,Chelsea,27,EVE (H) 2 - 0,6,90,0,0,1,0,0,0,0,0,0,1,0,27,9.4,0.0,0.0,0.9,16817,553834,5.1
James Maddison,Midfielder,Leicester,27,BHA (A) 1 - 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-327472,570292,7.2
Trent Alexander-Arnold,Defender,Liverpool,27,FUL (H) 0 - 1,1,14,0,0,0,0,0,0,0,0,0,0,0,6,6.4,32.3,2.0,4.1,662,1119826,7.4
Alexandre Lacazette,Forward,Arsenal,27,BUR (A) 1 - 1,1,27,0,0,0,0,0,0,0,0,0,0,0,3,0.6,0.6,4.0,0.5,19723,342388,8.1
Lewis Dunk,Defender,Brighton,27,LEI (H) 1 - 2,1,90,0,0,0,2,0,0,0,0,0,0,0,12,8.4,0.8,22.0,3.1,7044,465312,4.9
Chris Wood,Forward,Burnley,27,ARS (H) 1 - 1,9,90,1,0,0,1,0,0,0,0,0,0,3,24,44.4,4.2,47.0,9.6,1177,65704,6.2
Kasper Schmeichel,Goalkeeper,Leicester,27,BHA (A) 1 - 2,2,90,0,0,0,1,0,0,0,0,0,1,0,14,15.4,0.0,0.0,1.5,-2919,823708,5.5
Harvey Barnes,Midfielder,Leicester,27,BHA (A) 1 - 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-1091182,681418,6.9
Benjamin Chilwell,Defender,Chelsea,27,EVE (H) 2 - 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-5194,1044182,5.8
Rui Pedro dos Santos Patrício,Goalkeeper,Wolves,27,AVL (A) 0 - 0,6,90,0,0,1,0,0,0,0,0,0,1,0,20,9.4,0.0,0.0,0.9,-2286,352583,5.3
Pedro Lomba Neto,Midfielder,Wolves,27,AVL (A) 0 - 0,3,90,0,0,1,0,0,0,0,0,0,0,0,14,12.0,32.5,21.0,6.6,28597,603632,5.7
Harry Maguire,Defender,Man Utd,27,MCI (A) 0 - 2,5,90,0,0,1,0,0,0,0,1,0,0,0,26,17.2,0.5,0.0,1.8,-11205,428377,5.5
Matt Targett,Defender,Aston Villa,27,WOL (H) 0 - 0,6,90,0,0,1,0,0,0,0,0,0,0,0,21,9.0,2.9,0.0,1.2,30330,1114091,5.0
Wilfried Zaha,Midfielder,Crystal Palace,27,TOT (A) 4 - 1,1,45,0,0,0,3,0,0,0,0,0,0,0,-4,0.0,0.5,3.0,0.2,-7514,664880,7.1
Youri Tielemans,Midfielder,Leicester,27,BHA (A) 1 - 2,4,90,0,1,0,1,0,0,0,1,0,0,0,17,26.8,29.3,4.0,6.0,84381,297165,6.4
John Stones,Defender,Man City,27,MUN (H) 0 - 2,1,90,0,0,0,2,0,0,0,0,0,0,0,15,21.0,3.3,22.0,4.6,74287,1963877,5.2
John Stones,Defender,Man City,27,SOU (H) 5 - 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,74287,1963877,5.2
Luke Shaw,Defender,Man Utd,27,MCI (A) 0 - 2,14,90,1,0,1,0,0,0,0,1,0,0,3,35,44.2,1.3,36.0,8.2,-3904,838482,5.1
Callum Wilson,Forward,Newcastle,27,WBA (A) 0 - 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-42845,486886,6.5
Pierre-Emerick Aubameyang,Midfielder,Arsenal,27,BUR (A) 1 - 1,8,90,1,0,0,1,0,0,0,0,0,0,1,18,31.0,2.5,68.0,10.2,70295,607950,11.3
Lukasz Fabianski,Goalkeeper,West Ham,27,LEE (H) 2 - 0,6,90,0,0,1,0,0,0,0,0,0,2,0,23,18.2,0.0,0.0,1.8,-20624,251145,5.0
Leandro Trossard,Midfielder,Brighton,27,LEI (H) 1 - 2,2,90,0,0,0,2,0,0,0,0,0,0,0,3,8.8,9.0,2.0,2.0,1728,55410,5.7
Phil Foden,Midfielder,Man City,27,MUN (H) 0 - 2,1,20,0,0,0,0,0,0,0,0,0,0,0,1,0.0,2.0,6.0,0.6,-69158,779864,6.1
Phil Foden,Midfielder,Man City,27,SOU (H) 5 - 2,11,90,0,3,0,2,0,0,0,0,0,0,0,42,48.6,37.3,46.0,13.2,-69158,779864,6.1
