name,position,team,GW,OPP,Pts,Mins.P,Gls_S,Assists,Cln_Sht,Gls_Csd,Own_gls,Pen_Sc,Pen_Msd,YC,RC,Saves,Bonus,BPS,Inf,Crt,Thrt,ICT,Net_T,SB,price_£
Bruno Miguel Borges Fernandes,Midfielder,Man Utd,13,SHU (A) 2 - 3,2,79,0,0,0,1,0,0,0,0,0,0,0,7,6.6,15.9,1.0,2.4,173773,3258678,11.0
Harry Kane,Forward,Spurs,13,LIV (A) 2 - 1,2,90,0,0,0,2,0,0,0,0,0,0,0,0,0.0,0.8,10.0,0.8,21480,3131857,10.9
Heung-Min Son,Midfielder,Spurs,13,LIV (A) 2 - 1,9,86,1,0,0,1,0,0,0,0,0,0,2,34,38.6,26.2,17.0,8.2,-16425,4559057,9.6
Mohamed Salah,Midfielder,Liverpool,13,TOT (H) 2 - 1,7,90,1,0,0,1,0,0,0,0,0,0,0,26,50.2,19.3,74.0,14.4,-49191,2635318,12.3
Emiliano Martínez,Goalkeeper,Aston Villa,13,BUR (H) 0 - 0,8,90,0,0,1,0,0,0,0,0,0,4,1,28,26.2,0.0,0.0,2.6,98119,1985238,4.8
Patrick Bamford,Forward,Leeds,13,NEW (H) 5 - 2,6,83,1,0,0,2,0,0,0,0,0,0,0,29,42.8,13.1,77.0,13.3,156769,3114787,6.3
Jamie Vardy,Forward,Leicester,13,EVE (H) 0 - 2,2,90,0,0,0,2,0,0,0,0,0,0,0,4,6.0,21.6,43.0,7.1,1519,2248063,10.3
Marcus Rashford,Midfielder,Man Utd,13,SHU (A) 2 - 3,14,90,2,0,0,2,0,0,0,0,0,0,2,48,72.6,14.1,45.0,13.2,66787,538525,9.4
Ollie Watkins,Forward,Aston Villa,13,BUR (H) 0 - 0,1,90,0,0,1,0,0,0,0,1,0,0,0,-4,5.6,11.5,82.0,9.9,21247,633246,6.1
Stuart Dallas,Defender,Leeds,13,NEW (H) 5 - 2,7,90,1,0,0,2,0,0,0,0,0,0,0,29,46.0,10.6,54.0,11.1,10561,564237,4.6
Dominic Calvert-Lewin,Forward,Everton,13,LEI (A) 0 - 2,5,89,0,1,1,0,0,0,0,0,0,0,0,6,9.6,1.2,70.0,8.1,-21832,4557081,7.9
Illan Meslier,Goalkeeper,Leeds,13,NEW (H) 5 - 2,1,90,0,0,0,2,0,0,0,0,0,2,0,12,20.6,0.0,0.0,2.1,13573,423337,4.6
Ederson Santana de Moraes,Goalkeeper,Man City,13,WBA (H) 1 - 1,2,90,0,0,0,1,0,0,0,0,0,1,0,10,11.6,0.0,0.0,1.2,19446,481759,6.0
Ilkay Gündogan,Midfielder,Man City,13,WBA (H) 1 - 1,10,90,1,0,0,1,0,0,0,0,0,0,3,36,54.4,58.3,69.0,18.2,-214,19835,5.4
James Ward-Prowse,Midfielder,Southampton,13,ARS (A) 1 - 1,2,90,0,0,0,1,0,0,0,0,0,0,0,12,10.4,20.2,21.0,5.2,176477,1401251,6.3
Mason Mount,Midfielder,Chelsea,13,WOL (A) 2 - 1,1,90,0,0,0,2,0,0,0,1,0,0,0,10,10.4,23.1,10.0,4.4,55524,466081,6.8
Raheem Sterling,Midfielder,Man City,13,WBA (H) 1 - 1,7,90,0,1,0,1,0,0,0,0,0,0,2,22,34.2,61.6,86.0,18.2,34544,340830,11.4
Aaron Cresswell,Defender,West Ham,13,CRY (H) 1 - 1,2,90,0,0,0,1,0,0,0,0,0,0,0,4,3.2,6.7,1.0,1.1,50874,886573,5.2
Nick Pope,Goalkeeper,Burnley,13,AVL (A) 0 - 0,11,90,0,0,1,0,0,0,0,0,0,6,3,33,47.2,0.0,0.0,4.7,1129,700167,5.4
Sadio Mané,Midfielder,Liverpool,13,TOT (H) 2 - 1,2,90,0,0,0,1,0,0,0,0,0,0,0,0,11.8,26.8,66.0,10.5,-100410,610135,11.9
Rúben Santos Gato Alves Dias,Defender,Man City,13,WBA (H) 1 - 1,0,90,0,0,0,1,1,0,0,0,0,0,0,8,9.2,4.8,36.0,5.0,67661,322238,5.6
Hugo Lloris,Goalkeeper,Spurs,13,LIV (A) 2 - 1,5,90,0,0,0,2,0,0,0,0,0,9,1,29,69.8,0.0,0.0,7.0,-2107,504498,5.6
Jack Harrison,Midfielder,Leeds,13,NEW (H) 5 - 2,12,90,1,1,0,2,0,0,0,0,0,0,2,40,63.2,52.8,17.0,13.3,-4960,100483,5.4
Riyad Mahrez,Midfielder,Man City,13,WBA (H) 1 - 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,121883,800296,8.4
Aaron Wan-Bissaka,Defender,Man Utd,13,SHU (A) 2 - 3,1,90,0,0,0,2,0,0,0,0,0,0,0,10,16.0,3.1,2.0,2.1,24179,665611,5.4
Matheus Pereira,Midfielder,West Brom,13,MCI (A) 1 - 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-8225,61551,5.6
Tomas Soucek,Midfielder,West Ham,13,CRY (H) 1 - 1,2,90,0,0,0,1,0,0,0,0,0,0,0,10,13.4,2.5,2.0,1.8,228774,578706,5.0
Sam Johnstone,Goalkeeper,West Brom,13,MCI (A) 1 - 1,4,90,0,0,0,1,0,0,0,0,0,6,0,21,51.6,0.0,0.0,5.2,-5619,129400,4.5
Jarrod Bowen,Midfielder,West Ham,13,CRY (H) 1 - 1,2,79,0,0,0,1,0,0,0,0,0,0,0,3,2.0,1.6,20.0,2.4,158893,401000,6.4
Jack Grealish,Midfielder,Aston Villa,13,BUR (H) 0 - 0,3,90,0,0,1,0,0,0,0,0,0,0,0,17,16.6,69.8,52.0,13.8,178774,3321262,7.8
Andrew Robertson,Defender,Liverpool,13,TOT (H) 2 - 1,5,90,0,1,0,1,0,0,0,0,0,0,0,25,36.4,62.7,6.0,10.5,-59078,1369429,7.2
João Pedro Cavaco Cancelo,Defender,Man City,13,WBA (H) 1 - 1,1,90,0,0,0,1,0,0,0,1,0,0,0,7,18.4,30.5,33.0,8.2,36155,318251,5.5
Kevin De Bruyne,Midfielder,Man City,13,WBA (H) 1 - 1,4,90,0,0,0,1,0,0,0,0,0,0,2,22,21.4,82.7,42.0,14.6,279336,2159587,11.9
Edouard Mendy,Goalkeeper,Chelsea,13,WOL (A) 2 - 1,1,90,0,0,0,2,0,0,0,0,0,2,0,12,11.6,0.0,0.0,1.2,-2023,706775,5.2
James Maddison,Midfielder,Leicester,13,EVE (H) 0 - 2,2,90,0,0,0,2,0,0,0,0,0,0,0,15,17.6,62.1,11.0,9.1,160865,371978,7.1
Trent Alexander-Arnold,Defender,Liverpool,13,TOT (H) 2 - 1,2,90,0,0,0,1,0,0,0,0,0,0,0,17,14.0,28.4,10.0,5.2,-8134,1014658,7.2
