name,position,team,GW,OPP,Pts,Mins.P,Gls_S,Assists,Cln_Sht,Gls_Csd,Own_gls,Pen_Sc,Pen_Msd,YC,RC,Saves,Bonus,BPS,Inf,Crt,Thrt,ICT,Net_T,SB,price_£
Bruno Miguel Borges Fernandes,Midfielder,Man Utd,15,LEI (A) 2 - 2,12,90,1,1,0,2,0,0,0,1,0,0,3,39,58.4,40.4,47.0,14.6,88219,3359878,11.0
Harry Kane,Forward,Spurs,15,WOL (A) 1 - 1,2,90,0,0,0,1,0,0,0,0,0,0,0,2,5.6,3.9,26.0,3.6,-86077,3209230,11.0
Heung-Min Son,Midfielder,Spurs,15,WOL (A) 1 - 1,3,83,0,0,1,0,0,0,0,0,0,0,0,10,7.4,16.6,19.0,4.3,-7255,4754738,9.7
Mohamed Salah,Midfielder,Liverpool,15,WBA (H) 1 - 1,2,90,0,0,0,1,0,0,0,0,0,0,0,6,0.0,21.0,33.0,5.3,508149,3477161,12.6
Emiliano Martínez,Goalkeeper,Aston Villa,15,CRY (H) 3 - 0,10,90,0,0,1,0,0,0,0,0,0,6,2,34,34.2,0.0,0.0,3.4,86007,2218913,4.9
Patrick Bamford,Forward,Leeds,15,BUR (H) 1 - 0,8,90,1,0,1,0,0,0,0,0,0,0,2,30,33.2,1.3,27.0,6.2,235305,3473089,6.4
Jamie Vardy,Forward,Leicester,15,MUN (H) 2 - 2,5,90,0,1,0,2,0,0,0,0,0,0,0,10,0.4,2.2,33.0,3.6,-100730,1975640,10.1
Marcus Rashford,Midfielder,Man Utd,15,LEI (A) 2 - 2,7,90,1,0,0,2,0,0,0,0,0,0,0,15,49.2,2.8,40.0,9.2,-13944,674404,9.5
Ollie Watkins,Forward,Aston Villa,15,CRY (H) 3 - 0,11,90,0,3,1,0,0,0,0,0,0,0,0,26,23.2,37.9,140.0,20.1,-52776,562974,6.1
Stuart Dallas,Defender,Leeds,15,BUR (H) 1 - 0,6,90,0,0,1,0,0,0,0,0,0,0,0,23,11.8,0.9,3.0,1.6,230950,860685,4.7
Dominic Calvert-Lewin,Forward,Everton,15,SHU (A) 0 - 1,1,90,0,0,1,0,0,0,0,1,0,0,0,-3,4.4,16.2,8.0,2.9,61358,4735999,8.0
Illan Meslier,Goalkeeper,Leeds,15,BUR (H) 1 - 0,11,90,0,0,1,0,0,0,0,0,0,6,3,38,45.0,0.0,0.0,4.5,8746,433220,4.6
Ederson Santana de Moraes,Goalkeeper,Man City,15,NEW (H) 2 - 0,6,90,0,0,1,0,0,0,0,0,0,2,0,28,16.8,0.0,0.0,1.7,-769,469401,6.0
Ilkay Gündogan,Midfielder,Man City,15,NEW (H) 2 - 0,11,90,1,0,1,0,0,0,0,0,0,0,3,35,43.2,28.1,17.0,8.8,3693,29468,5.4
James Ward-Prowse,Midfielder,Southampton,15,FUL (A) 0 - 0,3,90,0,0,1,0,0,0,0,0,0,0,0,15,19.2,17.0,7.0,4.3,4632,1391878,6.3
Mason Mount,Midfielder,Chelsea,15,ARS (A) 3 - 1,2,90,0,0,0,3,0,0,0,0,0,0,0,11,5.0,57.3,19.0,8.1,1214,462609,6.9
Raheem Sterling,Midfielder,Man City,15,NEW (H) 2 - 0,6,90,0,1,1,0,0,0,0,0,0,0,0,28,31.4,26.0,71.0,12.8,16739,346580,11.4
Aaron Cresswell,Defender,West Ham,15,BHA (H) 2 - 2,4,90,0,1,0,2,0,0,0,0,0,0,0,21,13.0,22.9,8.0,4.4,54438,951670,5.3
Nick Pope,Goalkeeper,Burnley,15,LEE (A) 1 - 0,3,90,0,0,0,1,0,0,0,0,0,3,0,12,14.0,0.0,0.0,1.4,11938,757329,5.4
Sadio Mané,Midfielder,Liverpool,15,WBA (H) 1 - 1,9,90,1,0,0,1,0,0,0,0,0,0,2,28,41.4,15.0,65.0,12.1,16621,600387,11.9
Rúben Santos Gato Alves Dias,Defender,Man City,15,NEW (H) 2 - 0,6,90,0,0,1,0,0,0,0,0,0,0,0,26,17.2,2.3,4.0,2.4,163139,489796,5.7
Hugo Lloris,Goalkeeper,Spurs,15,WOL (A) 1 - 1,3,90,0,0,0,1,0,0,0,0,0,5,0,20,40.0,0.0,0.0,4.0,-765,541213,5.6
Jack Harrison,Midfielder,Leeds,15,BUR (H) 1 - 0,3,90,0,0,1,0,0,0,0,0,0,0,0,10,10.6,14.3,20.0,4.5,34990,169781,5.4
Riyad Mahrez,Midfielder,Man City,15,NEW (H) 2 - 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-160171,497052,8.3
Aaron Wan-Bissaka,Defender,Man Utd,15,LEI (A) 2 - 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-66098,584362,5.4
