name,position,team,GW,OPP,Pts,Mins.P,Gls_S,Assists,Cln_Sht,Gls_Csd,Own_gls,Pen_Sc,Pen_Msd,YC,RC,Saves,Bonus,BPS,Inf,Crt,Thrt,ICT,Net_T,SB,price_£
Bruno Miguel Borges Fernandes,Midfielder,Man Utd,5,NEW (A) 1 - 4,11,90,1,1,0,1,0,0,1,0,0,0,3,49,85.4,78.7,56.0,22.0,-1258,1508759,10.5
Harry Kane,Forward,Spurs,5,WHU (H) 3 - 3,16,90,2,1,0,3,0,0,0,0,0,0,3,69,108.4,29.3,67.0,20.5,723621,2083949,10.6
Heung-Min Son,Midfielder,Spurs,5,WHU (H) 3 - 3,13,79,1,1,1,0,0,0,0,0,0,0,2,35,62.0,33.6,56.0,15.2,1907229,3165689,9.2
Mohamed Salah,Midfielder,Liverpool,5,EVE (A) 2 - 2,7,90,1,0,0,2,0,0,0,0,0,0,0,24,48.4,20.2,96.0,16.5,330864,3337859,12.3
Emiliano Martínez,Goalkeeper,Aston Villa,5,LEI (A) 0 - 1,9,90,0,0,1,0,0,0,0,0,0,5,2,30,28.4,0.0,0.0,2.8,419020,1479843,4.7
Patrick Bamford,Forward,Leeds,5,WOL (H) 0 - 1,2,90,0,0,0,1,0,0,0,0,0,0,0,3,0.2,4.0,27.0,3.1,58061,1833951,5.8
Jamie Vardy,Forward,Leicester,5,AVL (H) 0 - 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-30736,1748285,10.1
Marcus Rashford,Midfielder,Man Utd,5,NEW (A) 1 - 4,15,90,1,2,0,1,0,0,0,0,0,0,2,46,76.6,35.8,111.0,22.3,-42366,417457,9.5
Ollie Watkins,Forward,Aston Villa,5,LEI (A) 0 - 1,2,90,0,0,1,0,0,0,0,0,0,0,0,1,10.4,8.5,27.0,4.6,177895,294610,6.0
Stuart Dallas,Defender,Leeds,5,WOL (H) 0 - 1,2,90,0,0,0,1,0,0,0,0,0,0,0,14,19.0,3.8,0.0,2.3,50072,409451,4.5
Dominic Calvert-Lewin,Forward,Everton,5,LIV (H) 2 - 2,6,90,1,0,0,2,0,0,0,0,0,0,0,21,38.6,3.3,51.0,9.3,624975,3660283,7.6
Illan Meslier,Goalkeeper,Leeds,5,WOL (H) 0 - 1,2,90,0,0,0,1,0,0,0,0,0,2,0,12,16.4,0.0,0.0,1.6,59536,239566,4.5
Ederson Santana de Moraes,Goalkeeper,Man City,5,ARS (H) 1 - 0,7,90,0,0,1,0,0,0,0,0,0,3,0,25,29.0,0.0,0.0,2.9,19235,401820,6.0
Ilkay Gündogan,Midfielder,Man City,5,ARS (H) 1 - 0,1,25,0,0,0,0,0,0,0,0,0,0,0,4,2.8,13.7,0.0,1.7,-3182,16192,5.4
James Ward-Prowse,Midfielder,Southampton,5,CHE (A) 3 - 3,2,90,0,0,0,3,0,0,0,0,0,0,0,14,7.6,8.9,2.0,1.9,-34625,148113,5.8
Mason Mount,Midfielder,Chelsea,5,SOU (H) 3 - 3,2,71,0,0,0,2,0,0,0,0,0,0,0,6,6.0,23.3,46.0,7.5,-96494,462770,6.9
Raheem Sterling,Midfielder,Man City,5,ARS (H) 1 - 0,11,90,1,0,1,0,0,0,0,0,0,0,3,28,39.4,21.0,35.0,9.5,-54119,436941,11.5
Aaron Cresswell,Defender,West Ham,5,TOT (A) 3 - 3,5,90,0,1,0,3,0,0,0,0,0,0,1,27,32.6,34.0,1.0,6.8,148325,255018,4.9
Nick Pope,Goalkeeper,Burnley,5,WBA (A) 0 - 0,11,90,0,0,1,0,0,0,0,0,0,6,3,34,47.4,0.0,0.0,4.7,-75519,898131,5.5
Sadio Mané,Midfielder,Liverpool,5,EVE (A) 2 - 2,6,90,1,0,0,2,0,0,0,1,0,0,0,18,46.2,28.3,57.0,13.2,-103546,463038,11.9
Rúben Santos Gato Alves Dias,Defender,Man City,5,ARS (H) 1 - 0,5,90,0,0,1,0,0,0,0,1,0,0,0,24,14.8,2.8,0.0,1.8,24210,39139,5.5
Hugo Lloris,Goalkeeper,Spurs,5,WHU (H) 3 - 3,1,90,0,0,0,3,0,0,0,0,0,2,0,14,16.6,0.0,0.0,1.7,58608,419844,5.5
Jack Harrison,Midfielder,Leeds,5,WOL (H) 0 - 1,2,81,0,0,0,1,0,0,0,0,0,0,0,11,15.8,42.7,28.0,8.7,-8192,149273,5.5
Riyad Mahrez,Midfielder,Man City,5,ARS (H) 1 - 0,3,90,0,0,1,0,0,0,0,0,0,0,0,8,7.2,15.8,70.0,9.3,-65148,309895,8.5
