name,position,team,GW,OPP,Pts,Mins.P,Gls_S,Assists,Cln_Sht,Gls_Csd,Own_gls,Pen_Sc,Pen_Msd,YC,RC,Saves,Bonus,BPS,Inf,Crt,Thrt,ICT,Net_T,SB,price_£
Bruno Miguel Borges Fernandes,Midfielder,Man Utd,12,MCI (H) 0 - 0,3,90,0,0,1,0,0,0,0,0,0,0,0,7,17.2,27.7,37.0,8.2,-32910,3049874,10.9
Harry Kane,Forward,Spurs,12,CRY (A) 1 - 1,9,90,1,0,0,1,0,0,0,0,0,0,3,30,48.6,14.8,50.0,11.3,106446,3116271,10.9
Heung-Min Son,Midfielder,Spurs,12,CRY (A) 1 - 1,5,90,0,1,0,1,0,0,0,0,0,0,0,15,24.6,27.8,8.0,6.0,222898,4587823,9.6
Mohamed Salah,Midfielder,Liverpool,12,FUL (A) 1 - 1,8,83,1,0,0,1,0,0,0,0,0,0,1,23,39.0,2.2,36.0,7.7,382059,2709743,12.3
Emiliano Martínez,Goalkeeper,Aston Villa,12,WOL (A) 0 - 1,11,90,0,0,1,0,0,0,0,0,0,7,3,36,47.2,0.0,0.0,4.7,-31936,1866758,4.8
Patrick Bamford,Forward,Leeds,12,WHU (H) 1 - 2,5,73,0,1,0,1,0,0,0,0,0,0,0,14,2.2,2.3,29.0,3.4,279128,2950528,6.2
Jamie Vardy,Forward,Leicester,12,BHA (H) 3 - 0,13,90,1,2,1,0,0,0,0,0,0,0,1,43,69.2,20.7,48.0,13.8,-67357,2237147,10.3
Marcus Rashford,Midfielder,Man Utd,12,MCI (H) 0 - 0,3,90,0,0,1,0,0,0,0,0,0,0,0,4,2.4,12.0,4.0,1.8,9343,461068,9.4
Ollie Watkins,Forward,Aston Villa,12,WOL (A) 0 - 1,2,90,0,0,1,0,0,0,0,0,0,0,0,5,9.6,1.3,39.0,5.0,-12245,604512,6.1
Stuart Dallas,Defender,Leeds,12,WHU (H) 1 - 2,1,90,0,0,0,2,0,0,0,0,0,0,0,19,17.6,14.3,0.0,3.2,45533,553806,4.6
Dominic Calvert-Lewin,Forward,Everton,12,CHE (H) 1 - 0,5,90,0,1,1,0,0,0,0,0,0,0,0,14,4.4,1.8,22.0,2.8,-152458,4558764,8.0
Illan Meslier,Goalkeeper,Leeds,12,WHU (H) 1 - 2,3,90,0,0,0,2,0,0,0,0,0,6,0,25,49.0,0.0,0.0,4.9,50380,409595,4.6
Ederson Santana de Moraes,Goalkeeper,Man City,12,MUN (A) 0 - 0,6,90,0,0,1,0,0,0,0,0,0,2,0,23,15.6,0.0,0.0,1.6,-8801,453521,6.0
Ilkay Gündogan,Midfielder,Man City,12,MUN (A) 0 - 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-1117,19869,5.4
James Ward-Prowse,Midfielder,Southampton,12,SHU (H) 3 - 0,3,90,0,0,1,0,0,0,0,0,0,0,0,16,19.2,67.0,10.0,9.6,303262,1234364,6.2
Mason Mount,Midfielder,Chelsea,12,EVE (A) 1 - 0,2,90,0,0,0,1,0,0,0,0,0,0,0,12,8.0,7.9,8.0,2.4,62718,410068,6.8
Raheem Sterling,Midfielder,Man City,12,MUN (A) 0 - 0,3,90,0,0,1,0,0,0,0,0,0,0,0,1,4.0,4.1,30.0,3.8,-9147,298936,11.4
Aaron Cresswell,Defender,West Ham,12,LEE (A) 1 - 2,5,90,0,1,0,1,0,0,0,0,0,0,0,24,33.2,29.3,0.0,6.3,-4686,828738,5.2
Nick Pope,Goalkeeper,Burnley,12,ARS (A) 0 - 1,11,90,0,0,1,0,0,0,0,0,0,6,3,36,51.8,0.0,0.0,5.2,-8699,696415,5.4
Sadio Mané,Midfielder,Liverpool,12,FUL (A) 1 - 1,2,90,0,0,0,1,0,0,0,0,0,0,0,0,1.0,2.8,10.0,1.4,-43976,715055,12.0
Rúben Santos Gato Alves Dias,Defender,Man City,12,MUN (A) 0 - 0,6,90,0,0,1,0,0,0,0,0,0,0,0,25,13.0,0.8,0.0,1.4,6417,247154,5.6
