name,position,team,GW,OPP,Pts,Mins.P,Gls_S,Assists,Cln_Sht,Gls_Csd,Own_gls,Pen_Sc,Pen_Msd,YC,RC,Saves,Bonus,BPS,Inf,Crt,Thrt,ICT,Net_T,SB,price_£
Bruno Miguel Borges Fernandes,Midfielder,Man Utd,9,WBA (H) 1 - 0,11,90,1,0,1,0,0,0,0,0,0,0,3,44,58.0,86.5,56.0,20.1,1033358,2644080,10.7
Harry Kane,Forward,Spurs,9,MCI (H) 2 - 0,4,90,0,1,1,0,0,0,0,1,0,0,0,13,25.2,13.5,4.0,4.3,-24064,3342613,11.0
Heung-Min Son,Midfielder,Spurs,9,MCI (H) 2 - 0,10,90,1,0,1,0,0,0,0,0,0,0,2,29,40.6,2.0,17.0,6.0,-261619,4208016,9.5
Mohamed Salah,Midfielder,Liverpool,9,LEI (H) 3 - 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-1347561,2049762,12.3
Emiliano Martínez,Goalkeeper,Aston Villa,9,BHA (H) 1 - 2,1,90,0,0,0,2,0,0,0,0,0,1,0,12,6.4,0.0,0.0,0.6,90049,2084116,4.8
Patrick Bamford,Forward,Leeds,9,ARS (H) 0 - 0,2,90,0,0,1,0,0,0,0,0,0,0,0,-1,8.2,1.8,68.0,7.8,189837,2670112,6.1
Jamie Vardy,Forward,Leicester,9,LIV (A) 3 - 0,2,90,0,0,0,3,0,0,0,0,0,0,0,11,15.2,20.8,44.0,8.0,240113,1792751,10.1
Marcus Rashford,Midfielder,Man Utd,9,WBA (H) 1 - 0,3,78,0,0,1,0,0,0,0,0,0,0,0,4,9.8,5.4,44.0,5.9,-111225,556688,9.6
Ollie Watkins,Forward,Aston Villa,9,BHA (H) 1 - 2,2,90,0,0,0,2,0,0,0,0,0,0,0,6,6.4,22.3,12.0,4.1,328383,717477,6.1
Stuart Dallas,Defender,Leeds,9,ARS (H) 0 - 0,5,90,0,0,1,0,0,0,0,1,0,0,0,23,13.8,19.6,29.0,6.2,-20364,435682,4.5
Dominic Calvert-Lewin,Forward,Everton,9,FUL (A) 2 - 3,13,90,2,0,0,2,0,0,0,0,0,0,3,52,74.8,14.9,71.0,16.1,112176,4362644,7.8
Illan Meslier,Goalkeeper,Leeds,9,ARS (H) 0 - 0,6,90,0,0,1,0,0,0,0,0,0,2,0,23,20.2,0.0,0.0,2.0,-10090,300945,4.5
Ederson Santana de Moraes,Goalkeeper,Man City,9,TOT (A) 2 - 0,1,90,0,0,0,2,0,0,0,0,0,0,0,7,1.6,0.0,0.0,0.2,-11509,421178,6.0
Ilkay Gündogan,Midfielder,Man City,9,TOT (A) 2 - 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-92,20372,5.4
James Ward-Prowse,Midfielder,Southampton,9,WOL (A) 1 - 1,2,90,0,0,0,1,0,0,0,0,0,0,0,14,12.6,7.8,0.0,2.0,-9036,497927,6.0
Mason Mount,Midfielder,Chelsea,9,NEW (A) 0 - 2,6,90,0,1,1,0,0,0,0,0,0,0,0,21,15.2,44.8,30.0,9.0,-25442,335534,6.8
Raheem Sterling,Midfielder,Man City,9,TOT (A) 2 - 0,1,18,0,0,0,0,0,0,0,0,0,0,0,2,0.0,11.0,7.0,1.8,-116904,344145,11.5
Aaron Cresswell,Defender,West Ham,9,SHU (A) 0 - 1,7,90,0,0,1,0,0,0,0,0,0,0,1,29,19.4,20.5,0.0,4.0,91007,701664,5.1
Nick Pope,Goalkeeper,Burnley,9,CRY (H) 1 - 0,10,90,0,0,1,0,0,0,0,0,0,5,3,30,34.2,0.0,0.0,3.4,-11409,795807,5.4
Sadio Mané,Midfielder,Liverpool,9,LEI (H) 3 - 0,3,88,0,0,1,0,0,0,0,0,0,0,0,-2,10.8,13.1,92.0,11.6,261318,992835,12.1
Rúben Santos Gato Alves Dias,Defender,Man City,9,TOT (A) 2 - 0,0,90,0,0,0,2,0,0,0,1,0,0,0,6,17.0,2.1,34.0,5.3,15602,145213,5.5
Hugo Lloris,Goalkeeper,Spurs,9,MCI (H) 2 - 0,10,90,0,0,1,0,0,0,0,0,0,5,3,33,34.4,0.0,0.0,3.4,-26418,395062,5.5
Jack Harrison,Midfielder,Leeds,9,ARS (H) 0 - 0,3,79,0,0,1,0,0,0,0,0,0,0,0,14,10.8,38.3,9.0,5.8,-13664,119807,5.5
Riyad Mahrez,Midfielder,Man City,9,TOT (A) 2 - 0,2,71,0,0,0,2,0,0,0,0,0,0,0,7,9.0,43.5,25.0,7.8,-37388,166412,8.2
Aaron Wan-Bissaka,Defender,Man Utd,9,WBA (H) 1 - 0,8,90,0,0,1,0,0,0,0,0,0,0,2,31,17.4,14.8,2.0,3.4,27252,698777,5.4
Matheus Pereira,Midfielder,West Brom,9,MUN (A) 1 - 0,2,90,0,0,0,1,0,0,0,0,0,0,0,11,10.8,25.8,1.0,3.8,-36751,103075,5.8
Tomas Soucek,Midfielder,West Ham,9,SHU (A) 0 - 1,3,90,0,0,1,0,0,0,0,0,0,0,0,5,5.6,3.4,10.0,1.9,25889,225536,4.9
Sam Johnstone,Goalkeeper,West Brom,9,MUN (A) 1 - 0,4,90,0,0,0,1,0,0,0,0,0,6,0,20,43.4,0.0,0.0,4.3,145,74924,4.5
Jarrod Bowen,Midfielder,West Ham,9,SHU (A) 0 - 1,3,90,0,0,1,0,0,0,0,0,0,0,0,9,11.2,41.1,78.0,13.0,-17873,167524,6.3
Jack Grealish,Midfielder,Aston Villa,9,BHA (H) 1 - 2,1,90,0,0,0,2,0,0,0,1,0,0,0,12,10.2,33.7,18.0,6.2,603650,3065896,7.6
Andrew Robertson,Defender,Liverpool,9,LEI (H) 3 - 0,12,90,0,1,1,0,0,0,0,0,0,0,3,45,33.8,49.3,3.0,8.6,-59878,1264038,7.1
João Pedro Cavaco Cancelo,Defender,Man City,9,TOT (A) 2 - 0,1,90,0,0,0,2,0,0,0,0,0,0,0,16,18.6,53.3,3.0,7.5,79973,207222,5.5
Kevin De Bruyne,Midfielder,Man City,9,TOT (A) 2 - 0,2,90,0,0,0,2,0,0,0,0,0,0,0,17,12.8,51.8,91.0,15.6,128886,1326217,11.6
Edouard Mendy,Goalkeeper,Chelsea,9,NEW (A) 0 - 2,6,90,0,0,1,0,0,0,0,0,0,1,0,26,13.8,0.0,0.0,1.4,30636,498511,5.1
James Maddison,Midfielder,Leicester,9,LIV (A) 3 - 0,2,90,0,0,0,3,0,0,0,0,0,0,0,14,20.4,50.2,26.0,9.7,-8804,164679,7.0
Trent Alexander-Arnold,Defender,Liverpool,9,LEI (H) 3 - 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-713796,1423974,7.3
Alexandre Lacazette,Forward,Arsenal,9,LEE (A) 0 - 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-19270,237159,8.4
Lewis Dunk,Defender,Brighton,9,AVL (A) 1 - 2,2,90,0,0,0,1,0,0,0,0,0,0,0,17,21.0,0.0,0.0,2.1,-9194,203928,4.8
Chris Wood,Forward,Burnley,9,CRY (H) 1 - 0,8,90,1,0,1,0,0,0,0,0,0,0,2,26,43.8,22.7,55.0,12.2,-7534,73483,6.2
Kasper Schmeichel,Goalkeeper,Leicester,9,LIV (A) 3 - 0,4,90,0,0,0,3,0,0,0,0,0,9,0,27,64.4,0.0,0.0,6.4,-22771,855526,5.5
Harvey Barnes,Midfielder,Leicester,9,LIV (A) 3 - 0,2,61,0,0,0,2,0,0,0,0,0,0,0,1,9.2,11.0,54.0,7.4,-39257,277153,6.9
Benjamin Chilwell,Defender,Chelsea,9,NEW (A) 0 - 2,7,81,0,0,1,0,0,0,0,0,0,0,1,27,13.0,10.3,6.0,2.9,390012,2313447,6.0
Rui Pedro dos Santos Patrício,Goalkeeper,Wolves,9,SOU (H) 1 - 1,2,90,0,0,0,1,0,0,0,0,0,1,0,9,10.2,0.0,0.0,1.0,6454,566846,5.5
Pedro Lomba Neto,Midfielder,Wolves,9,SOU (H) 1 - 1,6,20,1,0,0,0,0,0,0,0,0,0,0,20,36.4,1.2,56.0,9.4,1568,138388,5.5
Harry Maguire,Defender,Man Utd,9,WBA (H) 1 - 0,6,90,0,0,1,0,0,0,0,0,0,0,0,25,19.0,1.9,35.0,5.6,6124,237839,5.4
Matt Targett,Defender,Aston Villa,9,BHA (H) 1 - 2,0,90,0,0,0,2,0,0,0,1,0,0,0,10,15.0,5.5,2.0,2.3,76274,212390,4.5
Wilfried Zaha,Midfielder,Crystal Palace,9,BUR (A) 1 - 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,83431,2263264,7.4
Youri Tielemans,Midfielder,Leicester,9,LIV (A) 3 - 0,2,90,0,0,0,3,0,0,0,0,0,0,0,12,23.4,5.9,9.0,3.8,23989,181834,6.4
John Stones,Defender,Man City,9,TOT (A) 2 - 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-1243,29191,4.8
Luke Shaw,Defender,Man Utd,9,WBA (H) 1 - 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-16643,56876,4.8
Callum Wilson,Forward,Newcastle,9,CHE (H) 0 - 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-309536,886652,6.5
Pierre-Emerick Aubameyang,Midfielder,Arsenal,9,LEE (A) 0 - 0,3,90,0,0,1,0,0,0,0,0,0,0,0,4,5.6,14.4,39.0,5.9,-74110,961065,11.7
Lukasz Fabianski,Goalkeeper,West Ham,9,SHU (A) 0 - 1,9,90,0,0,1,0,0,0,0,0,0,5,2,30,34.6,0.0,0.0,3.5,65432,229273,5.0
Leandro Trossard,Midfielder,Brighton,9,AVL (A) 1 - 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-51022,85200,6.0
Phil Foden,Midfielder,Man City,9,TOT (A) 2 - 0,1,18,0,0,0,0,0,0,0,0,0,0,0,3,2.8,0.9,0.0,0.4,-103700,464089,6.5
Tyrone Mings,Defender,Aston Villa,9,BHA (H) 1 - 2,1,90,0,0,0,2,0,0,0,0,0,0,0,9,13.2,1.3,19.0,3.4,205584,1035405,5.3
Timo Werner,Forward,Chelsea,9,NEW (A) 0 - 2,5,75,0,1,1,0,0,0,0,0,0,0,0,16,20.0,17.1,27.0,6.4,112487,1888748,9.5
Alphonse Areola,Goalkeeper,Fulham,9,EVE (H) 2 - 3,2,90,0,0,0,3,0,0,0,0,0,4,0,18,30.2,0.0,0.0,3.0,-196,101083,4.5
Raphael Dias Belloli,Midfielder,Leeds,9,ARS (H) 0 - 0,3,90,0,0,1,0,0,0,0,0,0,0,0,10,6.0,21.2,28.0,5.5,31,2831,5.4
Danny Ings,Forward,Southampton,9,WOL (A) 1 - 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-317631,486900,8.3
Che Adams,Forward,Southampton,9,WOL (A) 1 - 1,7,90,0,1,0,1,0,0,0,0,0,0,2,23,23.0,33.3,27.0,8.3,93593,349725,5.9
Vicente Guaita,Goalkeeper,Crystal Palace,9,BUR (A) 1 - 0,3,90,0,0,0,1,0,0,0,0,0,3,0,18,29.4,0.0,0.0,2.9,-8182,296717,5.0
Vladimir Coufal,Defender,West Ham,9,SHU (A) 0 - 1,6,90,0,0,1,0,0,0,0,0,0,0,0,27,18.4,43.3,19.0,8.1,61155,157068,4.5
Gylfi Sigurdsson,Midfielder,Everton,9,FUL (A) 2 - 3,1,14,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1.0,0.0,0.1,-1802,66408,6.8
Bernd Leno,Goalkeeper,Arsenal,9,LEE (A) 0 - 0,10,90,0,0,1,0,0,0,0,0,0,4,3,29,31.6,0.0,0.0,3.2,-24402,666919,5.0
Jonny Evans,Defender,Leicester,9,LIV (A) 3 - 0,-1,90,0,0,0,3,1,0,0,0,0,0,0,7,5.6,0.6,0.0,0.6,3823,20304,5.5
Roberto Firmino,Forward,Liverpool,9,LEI (H) 3 - 0,6,90,1,0,1,0,0,0,0,0,0,0,0,23,40.8,14.6,110.0,16.5,-10384,166537,9.2
Richarlison de Andrade,Forward,Everton,9,FUL (A) 2 - 3,5,75,0,1,0,2,0,0,0,0,0,0,0,12,14.6,13.3,70.0,9.8,28106,310046,7.8
Ezri Konsa Ngoyo,Defender,Aston Villa,9,BHA (H) 1 - 2,8,90,1,0,0,2,0,0,0,0,0,0,1,26,45.0,1.1,17.0,6.3,12190,581171,4.7
Bertrand Traoré,Midfielder,Aston Villa,9,BHA (H) 1 - 2,5,69,0,1,0,2,0,0,0,0,0,0,0,21,22.4,38.2,9.0,7.0,-317,2664,5.9
Neal Maupay,Forward,Brighton,9,AVL (A) 1 - 2,2,79,0,0,0,1,0,0,0,0,0,0,0,-3,0.0,3.5,29.0,3.0,-77037,287689,6.4
Michael Keane,Defender,Everton,9,FUL (A) 2 - 3,1,90,0,0,0,2,0,0,0,0,0,0,0,12,9.8,1.3,0.0,1.1,2432,449352,5.1
César Azpilicueta,Defender,Chelsea,9,NEW (A) 0 - 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-29198,260439,5.8
Reece James,Defender,Chelsea,9,NEW (A) 0 - 2,8,90,0,0,1,0,0,0,0,0,0,0,2,28,13.2,11.1,11.0,3.5,29343,936916,5.0
Dwight McNeil,Midfielder,Burnley,9,CRY (H) 1 - 0,3,90,0,0,1,0,0,0,0,0,0,0,0,8,6.0,27.0,24.0,5.7,-2258,32890,5.8
Kurt Zouma,Defender,Chelsea,9,NEW (A) 0 - 2,6,90,0,0,1,0,0,0,0,0,0,0,0,26,22.0,2.2,6.0,3.0,230257,1375103,5.4
Alisson Ramses Becker,Goalkeeper,Liverpool,9,LEI (H) 3 - 0,8,90,0,0,1,0,0,0,0,0,0,4,1,30,33.2,0.0,0.0,3.3,-7955,540815,5.9
Bukayo Saka,Midfielder,Arsenal,9,LEE (A) 0 - 0,1,35,0,0,0,0,0,0,0,0,0,0,0,4,12.6,20.3,23.0,5.6,-13205,206289,5.3
John McGinn,Midfielder,Aston Villa,9,BHA (H) 1 - 2,2,90,0,0,0,2,0,0,0,0,0,0,0,14,7.8,17.4,3.0,2.8,-4125,172965,5.5
Michail Antonio,Forward,West Ham,9,SHU (A) 0 - 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-29877,159300,6.2
Gabriel Fernando de Jesus,Forward,Man City,9,TOT (A) 2 - 0,2,90,0,0,0,2,0,0,0,0,0,0,0,4,3.4,16.3,59.0,7.9,20495,85996,9.3
Stuart Armstrong,Midfielder,Southampton,9,WOL (A) 1 - 1,2,89,0,0,0,1,0,0,0,0,0,0,0,11,4.6,17.7,4.0,2.6,24367,43910,5.5
Pascal Groß,Midfielder,Brighton,9,AVL (A) 1 - 2,5,90,0,1,0,1,0,0,0,0,0,0,0,24,29.2,35.7,4.0,6.9,-199,7068,5.8
Jorge Luiz Frello Filho,Midfielder,Chelsea,9,NEW (A) 0 - 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-155701,759988,5.2
Ola Aina,Defender,Fulham,9,EVE (H) 2 - 3,1,90,0,0,0,3,0,0,0,0,0,0,0,15,17.6,13.7,1.0,3.2,4595,18683,4.5
Ademola Lookman,Midfielder,Fulham,9,EVE (H) 2 - 3,5,90,0,1,0,3,0,0,0,0,0,0,0,26,30.8,35.0,16.0,8.2,-4582,32700,5.0
James Justin,Defender,Leicester,9,LIV (A) 3 - 0,0,90,0,0,0,3,0,0,0,1,0,0,0,5,3.6,2.7,1.0,0.7,35767,1646134,4.8
Conor Coady,Defender,Wolves,9,SOU (H) 1 - 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-51984,590477,5.0
James Rodríguez,Midfielder,Everton,9,FUL (A) 2 - 3,2,73,0,0,0,2,0,0,0,0,0,0,0,19,13.8,15.0,29.0,5.8,50477,2246665,7.9
Pablo Fornals,Midfielder,West Ham,9,SHU (A) 0 - 1,6,75,0,1,1,0,0,0,0,0,0,0,0,14,8.4,19.1,10.0,3.8,1431,139986,6.4
Ben White,Defender,Brighton,9,AVL (A) 1 - 2,2,90,0,0,0,1,0,0,0,0,0,0,0,8,13.8,0.4,0.0,1.4,-3198,94550,4.5
Eberechi Eze,Midfielder,Crystal Palace,9,BUR (A) 1 - 0,2,90,0,0,0,1,0,0,0,0,0,0,0,12,13.2,15.3,2.0,3.1,14602,39069,5.8
Nélson Cabral Semedo,Defender,Wolves,9,SOU (H) 1 - 1,2,90,0,0,0,1,0,0,0,0,0,0,0,17,23.0,16.8,7.0,4.7,28603,280280,5.6
Victor Lindelöf,Defender,Man Utd,9,WBA (H) 1 - 0,7,90,0,0,1,0,0,0,0,0,0,0,1,26,17.4,11.7,0.0,2.9,-3918,88620,4.9
Aaron Ramsdale,Goalkeeper,Sheffield Utd,9,WHU (H) 0 - 1,2,90,0,0,0,1,0,0,0,0,0,2,0,12,18.2,0.0,0.0,1.8,-16255,216545,4.8
Rúben Diogo da Silva Neves,Midfielder,Wolves,9,SOU (H) 1 - 1,1,69,0,0,0,1,0,0,0,1,0,0,0,11,11.2,11.8,0.0,2.3,-5731,107256,5.3
James Tarkowski,Defender,Burnley,9,CRY (H) 1 - 0,6,90,0,0,1,0,0,0,0,0,0,0,0,20,14.2,10.7,6.0,3.1,238,188987,5.4
Ashley Westwood,Midfielder,Burnley,9,CRY (H) 1 - 0,3,90,0,0,1,0,0,0,0,0,0,0,0,10,9.0,3.2,17.0,2.9,-2119,35554,5.3
Romain Saïss,Defender,Wolves,9,SOU (H) 1 - 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-252007,1241579,5.2
Robert Sánchez,Goalkeeper,Brighton,9,AVL (A) 1 - 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-327,1291,4.5
Joël Veltman,Defender,Brighton,9,AVL (A) 1 - 2,1,45,0,0,0,1,0,0,0,0,0,0,0,10,22.2,0.3,0.0,2.3,10419,29407,4.3
Lucas Digne,Defender,Everton,9,FUL (A) 2 - 3,8,90,0,2,0,2,0,0,0,0,0,0,1,42,50.8,54.9,4.0,11.0,65487,982149,6.1
Tanguy Ndombele,Midfielder,Spurs,9,MCI (H) 2 - 0,6,64,0,1,1,0,0,0,0,0,0,0,0,23,22.2,14.0,4.0,4.0,-4391,21913,5.9
Ben Mee,Defender,Burnley,9,CRY (H) 1 - 0,6,90,0,0,1,0,0,0,0,0,0,0,0,23,14.0,0.0,0.0,1.4,3083,14631,4.9
Tosin Adarabioyo,Defender,Fulham,9,EVE (H) 2 - 3,1,90,0,0,0,3,0,0,0,0,0,0,0,15,20.0,1.3,0.0,2.1,-4,1745,4.5
Matthew Lowton,Defender,Burnley,9,CRY (H) 1 - 0,5,90,0,0,1,0,0,0,0,1,0,0,0,17,5.6,1.2,0.0,0.7,1089,8503,4.4
Héctor Bellerín,Defender,Arsenal,9,LEE (A) 0 - 0,9,90,0,0,1,0,0,0,0,0,0,0,3,29,13.6,24.3,0.0,3.8,18737,621663,5.1
Kelechi Iheanacho,Forward,Leicester,9,LIV (A) 3 - 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-880,22512,5.6
Jan Bednarek,Defender,Southampton,9,WOL (A) 1 - 1,2,90,0,0,0,1,0,0,0,0,0,0,0,15,21.2,0.2,0.0,2.1,2880,144580,4.5
Jesse Lingard,Midfielder,West Ham,9,WBA (H) 1 - 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-410,10075,5.9
Jordan Pickford,Goalkeeper,Everton,9,FUL (A) 2 - 3,2,90,0,0,0,2,0,0,0,0,0,4,0,17,26.8,0.0,0.0,2.7,-20299,525236,4.9
Joachim Andersen,Defender,Fulham,9,EVE (H) 2 - 3,1,90,0,0,0,3,0,0,0,0,0,0,0,12,20.6,2.6,0.0,2.3,102,728,4.5
Timothy Castagne,Defender,Leicester,9,LIV (A) 3 - 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-129575,664602,5.7
Bernardo Mota Veiga de Carvalho e Silva,Midfielder,Man City,9,TOT (A) 2 - 0,2,71,0,0,0,2,0,0,0,0,0,0,0,9,1.6,4.9,10.0,1.7,-3246,40706,7.4
