name,position,team,GW,OPP,Pts,Mins.P,Gls_S,Assists,Cln_Sht,Gls_Csd,Own_gls,Pen_Sc,Pen_Msd,YC,RC,Saves,Bonus,BPS,Inf,Crt,Thrt,ICT,Net_T,SB,price_£
Emil Krafth,Defender,Newcastle,30,TOT (H) 2 - 2,1,78,0,0,0,2,0,0,0,0,0,0,0,18,10.8,28.7,26.0,6.6,-1550,7106,4.2
Kean Bryan,Defender,Sheffield Utd,30,LEE (A) 2 - 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,625,33699,3.9
Ibrahima Diallo,Midfielder,Southampton,30,BUR (H) 3 - 2,2,90,0,0,0,2,0,0,0,0,0,0,0,10,13.8,3.5,16.0,3.3,108,1951,4.5
Erik Lamela,Midfielder,Spurs,30,NEW (A) 2 - 2,1,26,0,0,0,1,0,0,0,0,0,0,0,2,6.4,11.7,6.0,2.4,222,9954,5.7
Okay Yokuslu,Midfielder,West Brom,30,CHE (A) 2 - 5,2,90,0,0,0,2,0,0,0,0,0,0,0,18,23.0,11.2,7.0,4.1,146,970,4.5
Ryan Fredericks,Defender,West Ham,30,WOL (A) 2 - 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-48,15543,4.2
Manuel Lanzini,Midfielder,West Ham,30,WOL (A) 2 - 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-749,9186,6.4
Ricardo Domingos Barbosa Pereira,Defender,Leicester,30,MCI (H) 0 - 2,1,19,0,0,0,1,0,0,0,0,0,0,0,2,2.2,10.3,2.0,1.5,-13096,52951,5.9
Ozan Kabak,Defender,Liverpool,30,ARS (A) 0 - 3,6,83,0,0,1,0,0,0,0,0,0,0,0,22,4.0,0.8,0.0,0.5,1867,22754,5.0
Joe Rodon,Defender,Spurs,30,NEW (A) 2 - 2,2,90,0,0,0,2,0,0,0,0,0,0,1,24,46.8,0.5,0.0,4.7,342,3103,5.0
Mark Noble,Midfielder,West Ham,30,WOL (A) 2 - 3,2,90,0,0,0,2,0,0,0,0,0,0,0,18,16.8,1.2,0.0,1.8,-92,26850,4.5
Robin Olsen,Goalkeeper,Everton,30,CRY (H) 1 - 1,3,90,0,0,0,1,0,0,0,0,0,5,0,19,35.0,0.0,0.0,3.5,465,8513,4.5
Xherdan Shaqiri,Midfielder,Liverpool,30,ARS (A) 0 - 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-24,6231,6.4
Sergio Agüero,Forward,Man City,30,LEI (A) 0 - 2,2,62,0,0,1,0,0,0,0,0,0,0,0,5,0.0,3.6,24.0,2.7,1379,100745,10.3
Ben Johnson,Defender,West Ham,30,WOL (A) 2 - 3,1,23,0,0,0,1,0,0,0,0,0,0,0,4,1.4,0.3,0.0,0.2,-3979,194760,3.9
Jack Cork,Midfielder,Burnley,30,SOU (A) 3 - 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-19,1448,5.0
Kepa Arrizabalaga,Goalkeeper,Chelsea,30,WBA (H) 2 - 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-63,45017,4.7
Christian Fuchs,Defender,Leicester,30,MCI (H) 0 - 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-115,15886,4.5
