name,position,team,GW,OPP,Pts,Mins.P,Gls_S,Assists,Cln_Sht,Gls_Csd,Own_gls,Pen_Sc,Pen_Msd,YC,RC,Saves,Bonus,BPS,Inf,Crt,Thrt,ICT,Net_T,SB,price_£
Bruno Miguel Borges Fernandes,Midfielder,Man Utd,6,CHE (H) 0 - 0,3,90,0,0,1,0,0,0,0,0,0,0,0,14,18.6,60.9,16.0,9.6,85046,1609144,10.5
Harry Kane,Forward,Spurs,6,BUR (A) 0 - 1,5,90,0,1,1,0,0,0,0,0,0,0,0,17,20.6,12.3,36.0,6.9,765946,2874709,10.8
Heung-Min Son,Midfielder,Spurs,6,BUR (A) 0 - 1,11,90,1,0,1,0,0,0,0,0,0,0,3,30,36.2,9.4,61.0,10.7,746754,3897415,9.4
Mohamed Salah,Midfielder,Liverpool,6,SHU (H) 2 - 1,2,90,0,0,0,1,0,0,0,0,0,0,0,-2,8.2,27.2,62.0,9.7,138491,3490524,12.3
Emiliano Martínez,Goalkeeper,Aston Villa,6,LEE (H) 0 - 3,3,90,0,0,0,3,0,0,0,0,0,6,0,22,51.8,0.0,0.0,5.2,373882,1890748,4.8
Patrick Bamford,Forward,Leeds,6,AVL (A) 0 - 3,17,90,3,0,1,0,0,0,0,0,0,0,3,74,96.4,22.2,118.0,23.7,-71449,1771278,5.8
Jamie Vardy,Forward,Leicester,6,ARS (A) 0 - 1,7,30,1,0,0,0,0,0,0,0,0,0,2,26,35.2,0.8,34.0,7.0,-489382,1240334,10.0
Marcus Rashford,Midfielder,Man Utd,6,CHE (H) 0 - 0,2,90,0,0,1,0,0,0,0,1,0,0,0,0,7.6,18.8,36.0,6.2,82732,513232,9.5
Ollie Watkins,Forward,Aston Villa,6,LEE (H) 0 - 3,2,90,0,0,0,3,0,0,0,0,0,0,0,6,7.8,24.3,32.0,6.4,86893,384478,6.0
Stuart Dallas,Defender,Leeds,6,AVL (A) 0 - 3,6,90,0,0,1,0,0,0,0,0,0,0,0,24,19.8,13.3,18.0,5.1,-2536,406653,4.5
