name,position,team,GW,OPP,Pts,Mins.P,Gls_S,Assists,Cln_Sht,Gls_Csd,Own_gls,Pen_Sc,Pen_Msd,YC,RC,Saves,Bonus,BPS,Inf,Crt,Thrt,ICT,Net_T,SB,price_£
Bruno Miguel Borges Fernandes,Midfielder,Man Utd,3,BHA (A) 2 - 3,12,90,1,1,0,2,0,0,0,1,0,0,3,40,60.6,40.8,19.0,12.0,-274258,1344788,10.5
Harry Kane,Forward,Spurs,3,NEW (H) 1 - 1,5,90,0,1,0,1,0,0,0,0,0,0,0,7,29.8,23.5,138.0,19.1,266301,1243962,10.5
Heung-Min Son,Midfielder,Spurs,3,NEW (H) 1 - 1,1,45,0,0,0,0,0,0,0,0,0,0,0,8,4.0,40.3,8.0,5.2,784722,2405919,9.1
Mohamed Salah,Midfielder,Liverpool,3,ARS (H) 3 - 1,5,90,0,1,0,1,0,0,0,0,0,0,0,18,7.0,27.3,44.0,7.8,95854,2576134,12.1
Emiliano Martínez,Goalkeeper,Aston Villa,3,FUL (A) 0 - 3,6,90,0,0,1,0,0,0,0,0,0,2,0,26,19.0,0.0,0.0,1.9,333894,783041,4.5
Patrick Bamford,Forward,Leeds,3,SHU (A) 0 - 1,8,90,1,0,1,0,0,0,0,0,0,0,2,29,34.6,12.4,44.0,9.1,542839,1408294,5.7
Jamie Vardy,Forward,Leicester,3,MCI (A) 2 - 5,17,84,3,0,0,2,0,0,0,0,0,0,3,82,105.2,0.5,71.0,17.7,-247620,1345440,10.0
Marcus Rashford,Midfielder,Man Utd,3,BHA (A) 2 - 3,7,90,1,0,0,2,0,0,0,0,0,0,0,21,36.6,14.5,39.0,9.0,-71554,380669,9.5
Ollie Watkins,Forward,Aston Villa,3,FUL (A) 0 - 3,2,90,0,0,1,0,0,0,0,0,0,0,0,3,1.8,12.0,15.0,2.9,2870,109123,6.0
Stuart Dallas,Defender,Leeds,3,SHU (A) 0 - 1,6,90,0,0,1,0,0,0,0,0,0,0,0,22,16.2,19.3,32.0,6.8,-24854,336050,4.5
