name,position,team,GW,OPP,Pts,Mins.P,Gls_S,Assists,Cln_Sht,Gls_Csd,Own_gls,Pen_Sc,Pen_Msd,YC,RC,Saves,Bonus,BPS,Inf,Crt,Thrt,ICT,Net_T,SB,price_£
Bruno Miguel Borges Fernandes,Midfielder,Man Utd,17,AVL (H) 2 - 1,10,86,1,0,0,1,0,0,0,0,0,0,3,34,47.4,55.7,52.0,15.5,213222,3869250,11.2
Harry Kane,Forward,Spurs,17,LEE (H) 3 - 0,12,86,1,1,1,0,0,0,0,0,0,0,3,47,56.2,17.5,56.0,13.0,-19026,3264888,11.0
Heung-Min Son,Midfielder,Spurs,17,LEE (H) 3 - 0,13,90,1,1,1,0,0,0,0,0,0,0,2,41,64.2,55.8,31.0,15.1,-18558,4863090,9.7
Mohamed Salah,Midfielder,Liverpool,17,SOU (A) 1 - 0,2,90,0,0,0,1,0,0,0,0,0,0,0,-1,4.2,17.1,24.0,4.5,12437,3563431,12.6
Emiliano Martínez,Goalkeeper,Aston Villa,17,MUN (A) 2 - 1,3,90,0,0,0,2,0,0,0,0,0,7,0,27,51.4,0.0,0.0,5.1,38220,2319949,5.0
Patrick Bamford,Forward,Leeds,17,TOT (A) 3 - 0,2,90,0,0,0,3,0,0,0,0,0,0,0,-3,5.4,1.1,70.0,7.7,132400,3834706,6.6
Jamie Vardy,Forward,Leicester,17,NEW (A) 1 - 2,5,90,0,1,0,1,0,0,0,0,0,0,0,17,22.0,21.9,6.0,5.0,79570,2242578,10.2
Marcus Rashford,Midfielder,Man Utd,17,AVL (H) 2 - 1,2,90,0,0,0,1,0,0,0,0,0,0,0,4,10.8,3.3,53.0,6.7,132085,796276,9.5
Ollie Watkins,Forward,Aston Villa,17,MUN (A) 2 - 1,2,90,0,0,0,2,0,0,0,0,0,0,0,3,7.8,28.3,59.0,9.5,19380,615466,6.1
Stuart Dallas,Defender,Leeds,17,TOT (A) 3 - 0,1,90,0,0,0,3,0,0,0,0,0,0,0,11,14.0,3.2,9.0,2.6,191087,1201195,4.8
Dominic Calvert-Lewin,Forward,Everton,17,WHU (H) 0 - 1,2,78,0,0,1,0,0,0,0,0,0,0,0,4,0.0,3.5,12.0,1.3,-69196,4431270,7.9
Illan Meslier,Goalkeeper,Leeds,17,TOT (A) 3 - 0,2,90,0,0,0,3,0,0,0,0,0,4,0,21,37.6,0.0,0.0,3.8,17051,492569,4.6
Ederson Santana de Moraes,Goalkeeper,Man City,17,CHE (A) 1 - 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-21034,445752,6.0
Ilkay Gündogan,Midfielder,Man City,17,CHE (A) 1 - 3,9,74,1,0,1,0,0,0,0,0,0,0,1,27,44.4,15.5,41.0,10.1,-1276,31194,5.4
James Ward-Prowse,Midfielder,Southampton,17,LIV (H) 1 - 0,6,90,0,1,1,0,0,0,0,0,0,0,0,21,29.2,11.4,0.0,4.1,-173712,1174491,6.3
Mason Mount,Midfielder,Chelsea,17,MCI (H) 1 - 3,2,90,0,0,0,3,0,0,0,0,0,0,0,11,13.0,40.6,4.0,5.8,-37475,421575,6.9
Raheem Sterling,Midfielder,Man City,17,CHE (A) 1 - 3,5,90,0,1,0,1,0,0,0,0,0,0,0,22,6.4,25.9,10.0,4.2,-13889,320067,11.4
