name,position,team,GW,OPP,Pts,Mins.P,Gls_S,Assists,Cln_Sht,Gls_Csd,Own_gls,Pen_Sc,Pen_Msd,YC,RC,Saves,Bonus,BPS,Inf,Crt,Thrt,ICT,Net_T,SB,price_£
Harry Kane,Forward,Spurs,1,EVE (H) 0 - 1,2,90,0,0,0,1,0,0,0,0,0,0,0,7,8.0,22.5,21.0,5.2,0,894557,10.5
Heung-Min Son,Midfielder,Spurs,1,EVE (H) 0 - 1,2,90,0,0,0,1,0,0,0,0,0,0,0,10,14.0,46.8,35.0,9.6,0,1724987,9.0
Mohamed Salah,Midfielder,Liverpool,1,LEE (H) 4 - 3,20,90,3,0,0,3,0,0,0,0,0,0,3,69,117.2,50.1,161.0,32.8,0,1883241,12.0
Patrick Bamford,Forward,Leeds,1,LIV (A) 4 - 3,7,61,1,0,0,3,0,0,0,0,0,0,1,28,40.0,0.5,27.0,6.8,0,226666,5.5
Jamie Vardy,Forward,Leicester,1,WBA (A) 0 - 3,13,90,2,0,1,0,0,0,0,0,0,0,3,52,71.2,10.3,36.0,11.8,0,1036141,10.0
Stuart Dallas,Defender,Leeds,1,LIV (A) 4 - 3,3,90,0,1,0,4,0,0,0,0,0,0,0,21,23.2,1.3,2.0,2.7,0,256415,4.5
Dominic Calvert-Lewin,Forward,Everton,1,TOT (A) 0 - 1,8,88,1,0,1,0,0,0,0,0,0,0,2,34,38.4,13.7,34.0,8.6,0,387691,7.0
Illan Meslier,Goalkeeper,Leeds,1,LIV (A) 4 - 3,1,90,0,0,0,4,0,0,0,0,0,3,0,20,17.8,0.0,0.0,1.8,0,55373,4.5
James Ward-Prowse,Midfielder,Southampton,1,CRY (A) 1 - 0,2,90,0,0,0,1,0,0,0,0,0,0,0,15,6.6,17.4,4.0,2.8,0,280881,6.0
Mason Mount,Midfielder,Chelsea,1,BHA (A) 1 - 3,2,90,0,0,0,1,0,0,0,0,0,0,0,9,13.6,28.6,9.0,5.1,0,518922,7.0
Aaron Cresswell,Defender,West Ham,1,NEW (H) 0 - 2,1,90,0,0,0,2,0,0,0,0,0,0,0,11,10.4,11.2,0.0,2.2,0,70232,5.0
Sadio Mané,Midfielder,Liverpool,1,LEE (H) 4 - 3,2,90,0,0,0,3,0,0,0,0,0,0,0,14,13.2,45.5,75.0,13.4,0,807314,12.0
Hugo Lloris,Goalkeeper,Spurs,1,EVE (H) 0 - 1,3,90,0,0,0,1,0,0,0,0,0,3,0,15,20.0,0.0,0.0,2.0,0,296409,5.5
Jack Harrison,Midfielder,Leeds,1,LIV (A) 4 - 3,7,90,1,0,0,4,0,0,0,0,0,0,0,23,43.6,6.5,19.0,6.9,0,30491,5.5
Matheus Pereira,Midfielder,West Brom,1,LEI (H) 0 - 3,2,90,0,0,0,3,0,0,0,0,0,0,0,9,8.6,14.7,26.0,4.9,0,182852,6.0
Tomas Soucek,Midfielder,West Ham,1,NEW (H) 0 - 2,2,90,0,0,0,2,0,0,0,0,0,0,0,7,12.4,21.6,46.0,8.0,0,367903,5.0
Sam Johnstone,Goalkeeper,West Brom,1,LEI (H) 0 - 3,2,90,0,0,0,3,0,0,0,0,0,4,0,16,31.2,0.0,0.0,3.1,0,43295,4.5
Jarrod Bowen,Midfielder,West Ham,1,NEW (H) 0 - 2,2,88,0,0,0,2,0,0,0,0,0,0,0,5,1.8,2.6,12.0,1.6,0,94805,6.5
Andrew Robertson,Defender,Liverpool,1,LEE (H) 4 - 3,4,90,0,1,0,3,0,0,0,0,0,0,0,20,23.4,19.6,4.0,4.7,0,766431,7.0
James Maddison,Midfielder,Leicester,1,WBA (A) 0 - 3,1,15,0,0,0,0,0,0,0,0,0,0,0,4,2.8,12.3,0.0,1.5,0,81625,7.0
Trent Alexander-Arnold,Defender,Liverpool,1,LEE (H) 4 - 3,1,88,0,0,0,3,0,0,0,0,0,0,0,10,7.8,30.4,0.0,3.8,0,3227802,7.5
Alexandre Lacazette,Forward,Arsenal,1,FUL (A) 0 - 3,7,86,1,0,1,0,0,0,0,0,0,0,1,29,38.6,12.7,48.0,9.9,0,196064,8.5
Lewis Dunk,Defender,Brighton,1,CHE (H) 1 - 3,1,90,0,0,0,3,0,0,0,0,0,0,0,16,20.4,1.2,7.0,2.9,0,531265,5.0
Kasper Schmeichel,Goalkeeper,Leicester,1,WBA (A) 0 - 3,6,90,0,0,1,0,0,0,0,0,0,1,0,21,12.2,0.0,0.0,1.2,0,828679,5.5
Harvey Barnes,Midfielder,Leicester,1,WBA (A) 0 - 3,3,90,0,0,1,0,0,0,0,0,0,0,0,8,18.0,18.3,66.0,10.2,0,251556,7.0
Benjamin Chilwell,Defender,Chelsea,1,BHA (A) 1 - 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,72270,5.5
Rui Pedro dos Santos Patrício,Goalkeeper,Wolves,1,SHU (A) 0 - 2,6,90,0,0,1,0,0,0,0,0,0,1,0,23,11.2,0.0,0.0,1.1,0,375930,5.5
Pedro Lomba Neto,Midfielder,Wolves,1,SHU (A) 0 - 2,6,67,0,1,1,0,0,0,0,0,0,0,0,18,19.8,15.8,4.0,4.0,0,13748,5.5
Wilfried Zaha,Midfielder,Crystal Palace,1,SOU (H) 1 - 0,8,90,1,0,1,0,0,0,0,0,0,0,0,18,31.6,1.4,21.0,5.4,0,461359,7.0
Youri Tielemans,Midfielder,Leicester,1,WBA (A) 0 - 3,3,90,0,0,1,0,0,0,0,0,0,0,0,17,13.8,6.2,9.0,2.9,0,127919,6.5
Callum Wilson,Forward,Newcastle,1,WHU (A) 0 - 2,8,84,1,0,1,0,0,0,0,0,0,0,2,32,32.0,23.3,50.0,10.5,0,538610,6.5
Pierre-Emerick Aubameyang,Midfielder,Arsenal,1,FUL (A) 0 - 3,7,90,1,0,1,0,0,0,0,1,0,0,0,19,36.6,15.3,54.0,10.6,0,2823465,12.0
Lukasz Fabianski,Goalkeeper,West Ham,1,NEW (H) 0 - 2,1,90,0,0,0,2,0,0,0,0,0,0,0,9,5.0,0.0,0.0,0.5,0,102540,5.0
Leandro Trossard,Midfielder,Brighton,1,CHE (H) 1 - 3,8,90,1,0,0,3,0,0,0,0,0,0,1,28,40.8,27.6,11.0,7.9,0,24123,6.0
Timo Werner,Forward,Chelsea,1,BHA (A) 1 - 3,5,90,0,1,0,1,0,0,0,0,0,0,0,10,4.8,11.7,79.0,9.6,0,2838333,9.5
Alphonse Areola,Goalkeeper,Fulham,1,ARS (H) 0 - 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,71203,4.5
Danny Ings,Forward,Southampton,1,CRY (A) 1 - 0,2,90,0,0,0,1,0,0,0,0,0,0,0,1,8.6,11.2,60.0,8.0,0,1467030,8.5
Che Adams,Forward,Southampton,1,CRY (A) 1 - 0,2,84,0,0,0,1,0,0,0,0,0,0,0,3,4.4,13.1,21.0,3.9,0,279992,6.0
Vicente Guaita,Goalkeeper,Crystal Palace,1,SOU (H) 1 - 0,10,90,0,0,1,0,0,0,0,0,0,5,3,31,41.4,0.0,0.0,4.1,0,87269,5.0
Gylfi Sigurdsson,Midfielder,Everton,1,TOT (A) 0 - 1,1,22,0,0,0,0,0,0,0,0,0,0,0,3,2.4,0.3,0.0,0.3,0,99837,7.0
Bernd Leno,Goalkeeper,Arsenal,1,FUL (A) 0 - 3,7,90,0,0,1,0,0,0,0,0,0,2,1,29,14.0,0.0,0.0,1.4,0,400285,5.0
Jonny Evans,Defender,Leicester,1,WBA (A) 0 - 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,7125,5.5
Roberto Firmino,Forward,Liverpool,1,LEE (H) 4 - 3,1,90,0,0,0,3,0,0,0,1,0,0,0,10,5.8,7.2,38.0,5.1,0,248434,9.5
Richarlison de Andrade,Forward,Everton,1,TOT (A) 0 - 1,2,90,0,0,1,0,0,0,0,0,0,0,0,17,26.2,13.8,67.0,10.7,0,583310,8.0
Neal Maupay,Forward,Brighton,1,CHE (H) 1 - 3,2,90,0,0,0,3,0,0,0,0,0,0,0,1,0.0,1.0,8.0,0.7,0,102974,6.5
Michael Keane,Defender,Everton,1,TOT (A) 0 - 1,6,90,0,0,1,0,0,0,0,0,0,0,0,29,25.8,0.1,0.0,2.6,0,101537,5.0
César Azpilicueta,Defender,Chelsea,1,BHA (A) 1 - 3,1,5,0,0,0,0,0,0,0,0,0,0,0,3,0.4,0.5,2.0,0.3,0,469354,6.0
