name,position,team,GW,OPP,Pts,Mins.P,Gls_S,Assists,Cln_Sht,Gls_Csd,Own_gls,Pen_Sc,Pen_Msd,YC,RC,Saves,Bonus,BPS,Inf,Crt,Thrt,ICT,Net_T,SB,price_£
Bruno Miguel Borges Fernandes,Midfielder,Man Utd,11,WHU (A) 1 - 3,6,45,0,1,0,0,0,0,0,0,0,0,2,31,35.2,87.0,0.0,12.2,242451,3103036,10.9
Harry Kane,Forward,Spurs,11,ARS (H) 2 - 0,12,90,1,1,1,0,0,0,0,0,0,0,3,39,62.6,11.2,37.0,11.1,-264317,2928321,10.9
Heung-Min Son,Midfielder,Spurs,11,ARS (H) 2 - 0,13,87,1,1,1,0,0,0,0,0,0,0,2,35,54.6,11.0,9.0,7.5,-27457,4309429,9.5
Mohamed Salah,Midfielder,Liverpool,11,WOL (H) 4 - 0,14,90,1,1,1,0,0,0,0,0,0,0,3,43,57.0,23.2,29.0,10.9,66389,2290651,12.2
Patrick Bamford,Forward,Leeds,11,CHE (A) 3 - 1,8,90,1,0,0,3,0,0,0,0,0,0,2,29,41.0,0.7,30.0,7.2,-55858,2621988,6.1
Jamie Vardy,Forward,Leicester,11,SHU (A) 1 - 2,8,90,1,0,0,1,0,0,0,1,0,0,3,28,31.6,1.8,25.0,5.8,136442,2328122,10.3
Marcus Rashford,Midfielder,Man Utd,11,WHU (A) 1 - 3,6,45,1,0,0,0,0,0,0,0,0,0,0,18,34.2,13.8,47.0,9.5,-84742,440895,9.5
Stuart Dallas,Defender,Leeds,11,CHE (A) 3 - 1,1,90,0,0,0,3,0,0,0,0,0,0,0,8,8.8,2.5,5.0,1.6,55225,502752,4.5
Dominic Calvert-Lewin,Forward,Everton,11,BUR (A) 1 - 1,6,90,1,0,0,1,0,0,0,0,0,0,0,22,44.6,5.3,105.0,15.5,107896,4719468,8.0
Illan Meslier,Goalkeeper,Leeds,11,CHE (A) 3 - 1,3,90,0,0,0,3,0,0,0,0,0,7,0,21,54.2,0.0,0.0,5.4,43826,352439,4.6
Ederson Santana de Moraes,Goalkeeper,Man City,11,FUL (H) 2 - 0,6,90,0,0,1,0,0,0,0,0,0,1,0,22,12.2,0.0,0.0,1.2,28387,471360,6.0
Ilkay Gündogan,Midfielder,Man City,11,FUL (H) 2 - 0,3,90,0,0,1,0,0,0,0,0,0,0,0,16,14.2,8.8,4.0,2.7,350,20865,5.4
James Ward-Prowse,Midfielder,Southampton,11,BHA (A) 1 - 2,5,90,0,1,0,1,0,0,0,0,0,0,0,23,26.2,41.1,0.0,6.7,366291,946651,6.1
Mason Mount,Midfielder,Chelsea,11,LEE (H) 3 - 1,8,90,0,1,0,1,0,0,0,0,0,0,3,30,44.0,98.1,45.0,18.7,-2482,343553,6.8
Raheem Sterling,Midfielder,Man City,11,FUL (H) 2 - 0,13,90,1,1,1,0,0,0,0,0,0,0,2,33,43.6,3.8,77.0,12.4,-55736,305795,11.4
Aaron Cresswell,Defender,West Ham,11,MUN (H) 1 - 3,1,90,0,0,0,3,0,0,0,0,0,0,0,15,14.4,30.8,7.0,5.2,33441,826057,5.2
Nick Pope,Goalkeeper,Burnley,11,EVE (H) 1 - 1,3,90,0,0,0,1,0,0,0,0,0,5,0,19,37.8,0.0,0.0,3.8,-50308,698008,5.4
Sadio Mané,Midfielder,Liverpool,11,WOL (H) 4 - 0,6,90,0,1,1,0,0,0,0,0,0,0,0,14,4.2,15.8,49.0,6.9,-173800,739736,12.0
Rúben Santos Gato Alves Dias,Defender,Man City,11,FUL (H) 2 - 0,6,90,0,0,1,0,0,0,0,0,0,0,0,19,12.4,2.6,15.0,3.0,55514,248265,5.6
Hugo Lloris,Goalkeeper,Spurs,11,ARS (H) 2 - 0,6,90,0,0,1,0,0,0,0,0,0,2,0,22,17.4,0.0,0.0,1.7,31837,443690,5.5
Jack Harrison,Midfielder,Leeds,11,CHE (A) 3 - 1,1,56,0,0,0,1,0,0,0,0,0,0,0,2,6.0,1.8,4.0,1.2,-14459,100575,5.5
Riyad Mahrez,Midfielder,Man City,11,FUL (H) 2 - 0,4,90,0,0,1,0,0,0,0,0,0,0,1,28,17.4,53.9,26.0,9.7,520898,766741,8.4
Aaron Wan-Bissaka,Defender,Man Utd,11,WHU (A) 1 - 3,2,90,0,0,0,1,0,0,0,0,0,0,0,24,30.6,12.6,0.0,4.3,-7909,654648,5.4
Matheus Pereira,Midfielder,West Brom,11,CRY (H) 1 - 5,-2,33,0,0,0,5,0,0,0,0,1,0,0,-4,3.4,23.1,19.0,4.6,-8799,92595,5.7
Tomas Soucek,Midfielder,West Ham,11,MUN (H) 1 - 3,8,90,1,0,0,3,0,0,0,0,0,0,1,30,45.6,0.8,39.0,8.5,-1294,254955,4.9
Sam Johnstone,Goalkeeper,West Brom,11,CRY (H) 1 - 5,0,90,0,0,0,5,0,0,0,0,0,2,0,12,14.2,0.0,0.0,1.4,40177,147390,4.5
Jarrod Bowen,Midfielder,West Ham,11,MUN (H) 1 - 3,2,75,0,0,0,2,0,0,0,0,0,0,0,8,7.0,30.3,56.0,9.3,16332,176671,6.3
Andrew Robertson,Defender,Liverpool,11,WOL (H) 4 - 0,6,90,0,0,1,0,0,0,0,0,0,0,0,24,19.8,31.3,8.0,5.9,-83918,1377655,7.2
João Pedro Cavaco Cancelo,Defender,Man City,11,FUL (H) 2 - 0,6,90,0,0,1,0,0,0,0,0,0,0,0,25,10.8,17.7,11.0,4.0,-54669,282774,5.5
Kevin De Bruyne,Midfielder,Man City,11,FUL (H) 2 - 0,14,90,1,1,1,0,0,0,0,0,0,0,3,41,65.0,34.3,65.0,16.4,308791,1795578,11.7
Edouard Mendy,Goalkeeper,Chelsea,11,LEE (H) 3 - 1,2,90,0,0,0,1,0,0,0,0,0,2,0,9,6.8,0.0,0.0,0.7,128656,682911,5.2
James Maddison,Midfielder,Leicester,11,SHU (A) 1 - 2,4,90,0,1,0,1,0,0,0,1,0,0,0,21,24.4,47.4,13.0,8.5,-6665,205527,7.0
Trent Alexander-Arnold,Defender,Liverpool,11,WOL (H) 4 - 0,1,22,0,0,0,0,0,0,0,0,0,0,0,4,12.8,0.3,0.0,1.3,-141717,997109,7.2
Alexandre Lacazette,Forward,Arsenal,11,TOT (A) 2 - 0,1,90,0,0,0,2,0,0,0,1,0,0,0,5,12.8,15.1,55.0,8.3,-12057,207878,8.3
Lewis Dunk,Defender,Brighton,11,SOU (H) 1 - 2,0,90,0,0,0,2,0,0,0,1,0,0,0,9,22.2,0.9,4.0,2.7,-3031,198682,4.8
Chris Wood,Forward,Burnley,11,EVE (H) 1 - 1,2,90,0,0,0,1,0,0,0,0,0,0,0,1,9.8,14.9,58.0,8.3,2243,75311,6.2
Kasper Schmeichel,Goalkeeper,Leicester,11,SHU (A) 1 - 2,2,90,0,0,0,1,0,0,0,0,0,0,0,8,3.2,0.0,0.0,0.3,5874,917353,5.5
Harvey Barnes,Midfielder,Leicester,11,SHU (A) 1 - 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-907,317335,6.9
Benjamin Chilwell,Defender,Chelsea,11,LEE (H) 3 - 1,2,90,0,0,0,1,0,0,0,0,0,0,0,8,16.6,12.5,21.0,5.0,234568,2737574,6.2
Rui Pedro dos Santos Patrício,Goalkeeper,Wolves,11,LIV (A) 4 - 0,1,90,0,0,0,4,0,0,0,0,0,3,0,14,22.0,0.0,0.0,2.2,-24594,527305,5.5
Pedro Lomba Neto,Midfielder,Wolves,11,LIV (A) 4 - 0,2,78,0,0,0,4,0,0,0,0,0,0,0,11,12.2,33.2,6.0,5.1,130071,306608,5.6
Harry Maguire,Defender,Man Utd,11,WHU (A) 1 - 3,2,90,0,0,0,1,0,0,0,0,0,0,0,15,27.2,0.8,7.0,3.5,3117,254510,5.4
Wilfried Zaha,Midfielder,Crystal Palace,11,WBA (A) 1 - 5,18,80,2,1,0,1,0,0,0,0,0,0,3,50,63.0,6.6,90.0,16.0,-335104,1120326,7.3
Youri Tielemans,Midfielder,Leicester,11,SHU (A) 1 - 2,2,90,0,0,0,1,0,0,0,0,0,0,0,10,12.4,7.3,17.0,3.7,-12651,228313,6.4
John Stones,Defender,Man City,11,FUL (H) 2 - 0,6,90,0,0,1,0,0,0,0,0,0,0,0,26,21.4,2.4,0.0,2.4,5046,35643,4.8
