name,position,team,GW,OPP,Pts,Mins.P,Gls_S,Assists,Cln_Sht,Gls_Csd,Own_gls,Pen_Sc,Pen_Msd,YC,RC,Saves,Bonus,BPS,Inf,Crt,Thrt,ICT,Net_T,SB,price_£
Bruno Miguel Borges Fernandes,Midfielder,Man Utd,7,ARS (H) 0 - 1,2,74,0,0,0,1,0,0,0,0,0,0,0,7,9.2,17.5,8.0,3.5,-17677,1601697,10.5
Harry Kane,Forward,Spurs,7,BHA (H) 2 - 1,6,90,1,0,0,1,0,0,0,0,0,0,0,18,35.4,3.1,28.0,6.7,252287,3137021,10.9
Heung-Min Son,Midfielder,Spurs,7,BHA (H) 2 - 1,2,84,0,0,0,1,0,0,0,0,0,0,0,9,3.6,12.6,5.0,2.1,373225,4291822,9.5
Mohamed Salah,Midfielder,Liverpool,7,WHU (H) 2 - 1,8,89,1,0,0,1,0,0,0,0,0,0,1,23,35.0,16.6,58.0,11.0,-8171,3491118,12.4
Emiliano Martínez,Goalkeeper,Aston Villa,7,SOU (H) 3 - 4,0,90,0,0,0,4,0,0,0,0,0,0,0,6,4.4,0.0,0.0,0.4,94491,1988850,4.8
Patrick Bamford,Forward,Leeds,7,LEI (H) 1 - 4,2,90,0,0,0,4,0,0,0,0,0,0,0,-5,14.0,2.2,63.0,7.9,496839,2324156,5.9
Jamie Vardy,Forward,Leicester,7,LEE (A) 1 - 4,14,84,1,2,0,1,0,0,0,0,0,0,2,50,55.2,23.6,78.0,15.7,17267,1299954,10.0
Marcus Rashford,Midfielder,Man Utd,7,ARS (H) 0 - 1,2,90,0,0,0,1,0,0,0,0,0,0,0,4,3.6,19.3,14.0,3.7,117364,642682,9.5
Ollie Watkins,Forward,Aston Villa,7,SOU (H) 3 - 4,7,90,1,0,0,4,0,0,0,0,0,0,1,36,46.8,22.8,60.0,13.0,-29036,354508,6.0
Stuart Dallas,Defender,Leeds,7,LEI (H) 1 - 4,6,80,1,0,0,3,0,0,0,1,0,0,0,21,39.0,5.4,9.0,5.3,20364,432496,4.5
