name,position,team,GW,OPP,Pts,Mins.P,Gls_S,Assists,Cln_Sht,Gls_Csd,Own_gls,Pen_Sc,Pen_Msd,YC,RC,Saves,Bonus,BPS,Inf,Crt,Thrt,ICT,Net_T,SB,price_£
Bruno Miguel Borges Fernandes,Midfielder,Man Utd,22,SOU (H) 9 - 0,17,90,1,2,1,0,0,0,0,0,0,0,3,54,89.4,65.2,69.0,22.4,16203,4465306,11.4
Harry Kane,Forward,Spurs,22,CHE (H) 0 - 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-797821,1665524,11.1
Heung-Min Son,Midfielder,Spurs,22,CHE (H) 0 - 1,2,90,0,0,0,1,0,0,0,0,0,0,0,7,8.2,27.5,15.0,5.1,-254548,4479241,9.7
Mohamed Salah,Midfielder,Liverpool,22,BHA (H) 0 - 1,2,90,0,0,0,1,0,0,0,0,0,0,0,0,0.0,15.6,38.0,5.4,610263,3650389,12.6
Emiliano Martínez,Goalkeeper,Aston Villa,22,WHU (H) 1 - 3,4,90,0,0,0,3,0,0,0,0,0,6,1,25,39.2,0.0,0.0,3.9,76509,2681487,5.1
Patrick Bamford,Forward,Leeds,22,EVE (H) 1 - 2,5,90,0,1,0,2,0,0,0,0,0,0,0,17,22.0,32.3,42.0,9.6,25166,3739508,6.6
Jamie Vardy,Forward,Leicester,22,FUL (A) 0 - 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-102372,1060762,10.0
Marcus Rashford,Midfielder,Man Utd,22,SOU (H) 9 - 0,9,59,1,1,0,0,0,0,0,0,0,0,0,34,42.2,18.6,34.0,9.5,-31382,839491,9.5
Ollie Watkins,Forward,Aston Villa,22,WHU (H) 1 - 3,6,90,1,0,0,3,0,0,0,0,0,0,0,18,29.0,7.0,55.0,9.1,114950,1428318,6.3
Stuart Dallas,Defender,Leeds,22,EVE (H) 1 - 2,1,90,0,0,0,2,0,0,0,0,0,0,0,11,12.4,30.3,14.0,5.7,63157,1093005,4.8
Dominic Calvert-Lewin,Forward,Everton,22,LEE (A) 1 - 2,9,90,1,0,0,1,0,0,0,0,0,0,3,27,49.0,5.1,91.0,14.5,14147,3063876,7.6
Illan Meslier,Goalkeeper,Leeds,22,EVE (H) 1 - 2,2,90,0,0,0,2,0,0,0,0,0,4,0,16,31.8,0.0,0.0,3.2,-5262,449538,4.7
Ederson Santana de Moraes,Goalkeeper,Man City,22,BUR (A) 0 - 2,5,90,0,0,1,0,0,0,0,1,0,0,0,16,2.4,0.0,0.0,0.2,30369,658384,6.0
Ilkay Gündogan,Midfielder,Man City,22,BUR (A) 0 - 2,8,90,0,1,1,0,0,0,0,0,0,0,2,35,33.4,64.3,7.0,10.5,67503,1510992,5.8
James Ward-Prowse,Midfielder,Southampton,22,MUN (A) 9 - 0,2,90,0,0,0,9,0,0,0,0,0,0,0,16,23.6,0.2,8.0,3.2,-60398,683859,6.0
Mason Mount,Midfielder,Chelsea,22,TOT (A) 0 - 1,3,90,0,0,1,0,0,0,0,0,0,0,0,13,11.8,45.3,46.0,10.3,-15379,367671,6.8
Raheem Sterling,Midfielder,Man City,22,BUR (A) 0 - 2,8,90,1,0,1,0,0,0,0,0,0,0,0,25,50.6,27.9,75.0,15.4,-50535,945944,11.6
Aaron Cresswell,Defender,West Ham,22,AVL (A) 1 - 3,1,90,0,0,0,1,0,0,0,1,0,0,0,10,12.8,24.8,13.0,5.1,146283,1737759,5.6
Nick Pope,Goalkeeper,Burnley,22,MCI (H) 0 - 2,2,90,0,0,0,2,0,0,0,0,0,4,0,18,33.6,0.0,0.0,3.4,-7103,863732,5.4
Sadio Mané,Midfielder,Liverpool,22,BHA (H) 0 - 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-120422,554441,11.9
Rúben Santos Gato Alves Dias,Defender,Man City,22,BUR (A) 0 - 2,6,90,0,0,1,0,0,0,0,0,0,0,0,24,10.8,2.0,0.0,1.3,237705,1553531,6.0
Hugo Lloris,Goalkeeper,Spurs,22,CHE (H) 0 - 1,2,90,0,0,0,1,0,0,0,0,0,1,0,10,12.2,0.0,0.0,1.2,-26013,543224,5.6
Jack Harrison,Midfielder,Leeds,22,EVE (H) 1 - 2,1,86,0,0,0,2,0,0,0,1,0,0,0,3,10.6,17.8,19.0,4.7,18137,179388,5.4
Riyad Mahrez,Midfielder,Man City,22,BUR (A) 0 - 2,3,90,0,0,1,0,0,0,0,0,0,0,0,13,7.4,31.1,18.0,5.7,10161,304805,8.1
Aaron Wan-Bissaka,Defender,Man Utd,22,SOU (H) 9 - 0,17,90,1,1,1,0,0,0,0,0,0,0,2,53,45.4,6.4,37.0,8.9,40041,826337,5.4
Matheus Pereira,Midfielder,West Brom,22,SHU (A) 2 - 1,1,90,0,0,0,2,0,0,0,1,0,0,0,1,6.6,20.9,16.0,4.4,99376,193613,5.6
Tomas Soucek,Midfielder,West Ham,22,AVL (A) 1 - 3,9,90,1,0,0,1,0,0,0,0,0,0,2,30,56.2,13.7,64.0,13.4,17935,1464462,5.3
Sam Johnstone,Goalkeeper,West Brom,22,SHU (A) 2 - 1,2,90,0,0,0,2,0,0,0,0,0,4,0,17,22.2,0.0,0.0,2.2,-2572,218107,4.5
Jarrod Bowen,Midfielder,West Ham,22,AVL (A) 1 - 3,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,-13238,196014,6.2
Jack Grealish,Midfielder,Aston Villa,22,WHU (H) 1 - 3,6,90,0,1,0,3,0,0,0,0,0,0,1,25,25.4,49.3,19.0,9.4,170073,3171088,7.8
Andrew Robertson,Defender,Liverpool,22,BHA (H) 0 - 1,2,90,0,0,0,1,0,0,0,0,0,0,0,13,14.8,8.4,8.0,3.1,50230,1640207,7.4
João Pedro Cavaco Cancelo,Defender,Man City,22,BUR (A) 0 - 2,6,63,0,0,1,0,0,0,0,0,0,0,0,22,9.0,6.9,33.0,4.9,48856,1663998,6.0
Kevin De Bruyne,Midfielder,Man City,22,BUR (A) 0 - 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-59146,870921,11.8
Edouard Mendy,Goalkeeper,Chelsea,22,TOT (A) 0 - 1,6,90,0,0,1,0,0,0,0,0,0,2,0,24,12.6,0.0,0.0,1.3,-8741,542010,5.1
James Maddison,Midfielder,Leicester,22,FUL (A) 0 - 2,11,90,0,2,1,0,0,0,0,0,0,0,2,36,48.8,51.6,13.0,11.3,83839,1142081,7.3
