name,position,team,GW,OPP,Pts,Mins.P,Gls_S,Assists,Cln_Sht,Gls_Csd,Own_gls,Pen_Sc,Pen_Msd,YC,RC,Saves,Bonus,BPS,Inf,Crt,Thrt,ICT,Net_T,SB,price_£
Bruno Miguel Borges Fernandes,Midfielder,Man Utd,14,LEE (H) 6 - 2,17,70,2,1,0,1,0,0,0,0,0,0,2,64,94.0,36.9,54.0,18.5,-5647,3248370,11.0
Harry Kane,Forward,Spurs,14,LEI (H) 0 - 2,2,90,0,0,0,2,0,0,0,0,0,0,0,7,11.6,8.3,35.0,5.5,134670,3290617,11.0
Heung-Min Son,Midfielder,Spurs,14,LEI (H) 0 - 2,2,90,0,0,0,2,0,0,0,0,0,0,0,3,12.6,42.5,55.0,11.0,154155,4746191,9.7
Mohamed Salah,Midfielder,Liverpool,14,CRY (A) 0 - 7,16,33,2,1,0,0,0,0,0,0,0,0,2,52,86.6,14.2,26.0,12.7,264071,2925498,12.4
Emiliano Martínez,Goalkeeper,Aston Villa,14,WBA (A) 0 - 3,6,90,0,0,1,0,0,0,0,0,0,1,0,20,4.2,0.0,0.0,0.4,125309,2114994,4.9
Patrick Bamford,Forward,Leeds,14,MUN (A) 6 - 2,2,90,0,0,0,6,0,0,0,0,0,0,0,1,3.0,0.5,29.0,3.3,95233,3209689,6.3
Jamie Vardy,Forward,Leicester,14,TOT (A) 0 - 2,12,87,1,1,1,0,0,0,0,0,0,0,3,44,45.6,21.4,109.0,17.6,-180913,2065491,10.2
Marcus Rashford,Midfielder,Man Utd,14,LEE (H) 6 - 2,2,70,0,0,0,1,0,0,0,0,0,0,0,14,13.8,14.4,51.0,7.9,148472,688683,9.5
Ollie Watkins,Forward,Aston Villa,14,WBA (A) 0 - 3,2,90,0,0,1,0,0,0,0,0,0,0,0,0,5.6,4.6,29.0,3.9,-19687,612836,6.1
Stuart Dallas,Defender,Leeds,14,MUN (A) 6 - 2,5,90,1,0,0,6,0,0,0,0,0,0,0,26,45.2,6.5,29.0,8.1,48925,615705,4.6
Dominic Calvert-Lewin,Forward,Everton,14,ARS (H) 2 - 1,4,90,0,1,0,1,0,0,0,1,0,0,0,8,1.6,1.5,15.0,1.8,67501,4648980,7.9
Illan Meslier,Goalkeeper,Leeds,14,MUN (A) 6 - 2,1,90,0,0,0,6,0,0,0,0,0,8,0,23,60.2,0.0,0.0,6.0,-1904,421572,4.6
Ederson Santana de Moraes,Goalkeeper,Man City,14,SOU (A) 0 - 1,6,90,0,0,1,0,0,0,0,1,0,3,0,23,22.4,0.0,0.0,2.2,-13927,464565,6.0
Ilkay Gündogan,Midfielder,Man City,14,SOU (A) 0 - 1,3,90,0,0,1,0,0,0,0,0,0,0,0,12,13.6,19.7,17.0,5.0,4633,25035,5.4
James Ward-Prowse,Midfielder,Southampton,14,MCI (H) 0 - 1,1,90,0,0,0,1,0,0,0,1,0,0,0,18,16.0,37.4,0.0,5.3,-24734,1378449,6.3
Mason Mount,Midfielder,Chelsea,14,WHU (H) 3 - 0,6,90,0,1,1,0,0,0,0,0,0,0,0,29,40.6,61.7,11.0,11.3,-8429,458124,6.9
Raheem Sterling,Midfielder,Man City,14,SOU (A) 0 - 1,8,90,1,0,1,0,0,0,0,0,0,0,0,20,38.0,4.5,28.0,7.1,-13309,323173,11.4
Aaron Cresswell,Defender,West Ham,14,CHE (A) 3 - 0,1,90,0,0,0,3,0,0,0,0,0,0,0,14,10.0,20.6,8.0,3.9,5430,891542,5.2
Nick Pope,Goalkeeper,Burnley,14,WOL (H) 2 - 1,2,90,0,0,0,1,0,0,0,0,0,2,0,13,16.8,10.0,0.0,2.7,34319,740085,5.4
Sadio Mané,Midfielder,Liverpool,14,CRY (A) 0 - 7,9,56,1,1,0,0,0,0,0,0,0,0,0,31,52.2,11.3,41.0,10.5,-38831,576023,11.9
Rúben Santos Gato Alves Dias,Defender,Man City,14,SOU (A) 0 - 1,9,90,0,0,1,0,0,0,0,0,0,0,3,28,21.0,0.8,0.0,2.2,-7120,311749,5.6
Hugo Lloris,Goalkeeper,Spurs,14,LEI (H) 0 - 2,2,90,0,0,0,2,0,0,0,0,0,3,0,14,18.0,0.0,0.0,1.8,24011,536608,5.6
Jack Harrison,Midfielder,Leeds,14,MUN (A) 6 - 2,2,90,0,0,0,6,0,0,0,0,0,0,0,9,14.8,36.7,26.0,7.8,29893,132168,5.4
Riyad Mahrez,Midfielder,Man City,14,SOU (A) 0 - 1,1,18,0,0,0,0,0,0,0,0,0,0,0,-5,0.0,1.3,14.0,1.4,-143955,652938,8.4
Aaron Wan-Bissaka,Defender,Man Utd,14,LEE (H) 6 - 2,1,90,0,0,0,2,0,0,0,0,0,0,0,11,34.8,0.4,0.0,3.5,-11740,650952,5.4
Matheus Pereira,Midfielder,West Brom,14,AVL (H) 0 - 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-5368,56364,5.6
Tomas Soucek,Midfielder,West Ham,14,CHE (A) 3 - 0,2,90,0,0,0,3,0,0,0,0,0,0,0,12,9.2,1.8,28.0,3.9,48395,624219,5.0
Sam Johnstone,Goalkeeper,West Brom,14,AVL (H) 0 - 3,3,90,0,0,0,3,0,0,0,0,0,7,0,24,51.6,0.0,0.0,5.2,11607,142726,4.5
Jarrod Bowen,Midfielder,West Ham,14,CHE (A) 3 - 0,2,89,0,0,0,3,0,0,0,0,0,0,0,9,8.0,10.9,8.0,2.7,-5116,393809,6.4
Jack Grealish,Midfielder,Aston Villa,14,WBA (A) 0 - 3,10,90,0,2,1,0,0,0,0,0,0,0,1,40,43.2,92.2,37.0,17.2,28505,3353449,7.8
Andrew Robertson,Defender,Liverpool,14,CRY (A) 0 - 7,10,90,0,1,1,0,0,0,0,0,0,0,1,50,41.4,54.4,0.0,9.6,41753,1425120,7.2
João Pedro Cavaco Cancelo,Defender,Man City,14,SOU (A) 0 - 1,8,90,0,0,1,0,0,0,0,0,0,0,2,27,20.0,11.8,9.0,4.1,-3609,313374,5.5
Kevin De Bruyne,Midfielder,Man City,14,SOU (A) 0 - 1,5,90,0,1,1,0,0,0,0,1,0,0,0,24,36.4,52.2,17.0,10.6,-119082,2022711,11.9
Edouard Mendy,Goalkeeper,Chelsea,14,WHU (H) 3 - 0,6,90,0,0,1,0,0,0,0,0,0,0,0,20,3.6,0.0,0.0,0.4,-17479,693784,5.2
James Maddison,Midfielder,Leicester,14,TOT (A) 0 - 2,3,90,0,0,1,0,0,0,0,0,0,0,0,9,15.8,63.8,21.0,10.1,19485,390621,7.1
Trent Alexander-Arnold,Defender,Liverpool,14,CRY (A) 0 - 7,9,90,0,1,1,0,0,0,0,0,0,0,0,32,29.2,28.8,7.0,6.5,10375,1029122,7.2
Alexandre Lacazette,Forward,Arsenal,14,EVE (A) 2 - 1,1,14,0,0,0,0,0,0,0,0,0,0,0,6,3.2,10.3,12.0,2.6,-8941,191024,8.2
Lewis Dunk,Defender,Brighton,14,SHU (H) 1 - 1,1,90,0,0,0,1,0,0,0,1,0,0,0,8,12.6,15.2,8.0,3.6,14078,208698,4.8
Chris Wood,Forward,Burnley,14,WOL (H) 2 - 1,9,90,1,0,0,1,0,0,0,0,0,0,3,32,47.8,14.1,58.0,12.0,-1011,69107,6.2
Kasper Schmeichel,Goalkeeper,Leicester,14,TOT (A) 0 - 2,7,90,0,0,1,0,0,0,0,0,0,3,0,27,18.0,0.0,0.0,1.8,-38498,834702,5.5
