name,position,team,GW,OPP,Pts,Mins.P,Gls_S,Assists,Cln_Sht,Gls_Csd,Own_gls,Pen_Sc,Pen_Msd,YC,RC,Saves,Bonus,BPS,Inf,Crt,Thrt,ICT,Net_T,SB,price_£
Bruno Miguel Borges Fernandes,Midfielder,Man Utd,23,EVE (H) 3 - 3,7,90,1,0,0,3,0,0,0,0,0,0,0,29,35.0,53.3,20.0,10.8,187847,4675676,11.5
Harry Kane,Forward,Spurs,23,WBA (H) 2 - 0,8,90,1,0,1,0,0,0,0,0,0,0,2,28,40.2,26.5,64.0,13.1,-276543,1396326,11.0
Heung-Min Son,Midfielder,Spurs,23,WBA (H) 2 - 0,10,90,1,0,1,0,0,0,0,0,0,0,2,28,44.0,15.1,45.0,10.4,-28456,4466780,9.7
Mohamed Salah,Midfielder,Liverpool,23,MCI (H) 1 - 4,7,90,1,0,0,4,0,0,0,0,0,0,0,28,34.8,4.2,31.0,7.0,-96151,3553316,12.7
Emiliano Martínez,Goalkeeper,Aston Villa,23,ARS (H) 1 - 0,9,90,0,0,1,0,0,0,0,0,0,3,2,28,21.8,0.0,0.0,2.2,46603,2737236,5.2
Patrick Bamford,Forward,Leeds,23,CRY (H) 2 - 0,6,90,1,0,1,0,0,0,0,0,0,0,0,27,39.4,2.0,63.0,10.4,201881,3961280,6.7
Jamie Vardy,Forward,Leicester,23,WOL (A) 0 - 0,1,29,0,0,0,0,0,0,0,0,0,0,0,0,1.0,2.3,8.0,1.1,41344,1107826,10.0
Marcus Rashford,Midfielder,Man Utd,23,EVE (H) 3 - 3,5,90,0,1,0,3,0,0,0,0,0,0,0,17,32.4,29.2,39.0,10.1,124855,972545,9.6
Ollie Watkins,Forward,Aston Villa,23,ARS (H) 1 - 0,9,90,1,0,1,0,0,0,0,0,0,0,3,29,40.8,14.3,47.0,10.2,7465,1440375,6.3
Stuart Dallas,Defender,Leeds,23,CRY (H) 2 - 0,12,90,0,1,1,0,0,0,0,0,0,0,3,34,34.6,27.6,15.0,7.7,40797,1136910,4.8
