name,position,team,GW,OPP,Pts,Mins.P,Gls_S,Assists,Cln_Sht,Gls_Csd,Own_gls,Pen_Sc,Pen_Msd,YC,RC,Saves,Bonus,BPS,Inf,Crt,Thrt,ICT,Net_T,SB,price_£
Bruno Miguel Borges Fernandes,Midfielder,Man Utd,33,LEE (A) 0 - 0,3,90,0,0,1,0,0,0,0,0,0,0,0,13,6.0,34.0,37.0,7.7,-13044,4680945,11.6
Mohamed Salah,Midfielder,Liverpool,33,NEW (H) 1 - 1,9,90,1,0,0,1,0,0,0,0,0,0,2,24,42.6,38.8,52.0,13.3,327227,2937549,12.6
Emiliano Martínez,Goalkeeper,Aston Villa,33,WBA (H) 2 - 2,2,90,0,0,0,2,0,0,0,0,0,3,0,14,21.6,0.0,0.0,2.2,55448,3315235,5.4
Patrick Bamford,Forward,Leeds,33,MUN (H) 0 - 0,1,90,0,0,1,0,0,0,0,1,0,0,0,1,7.4,22.9,2.0,3.2,-2844,3581341,6.5
Jamie Vardy,Forward,Leicester,33,CRY (H) 2 - 1,2,90,0,0,0,1,0,0,0,0,0,0,0,5,2.6,3.1,40.0,4.6,405142,1988095,10.2
Marcus Rashford,Midfielder,Man Utd,33,LEE (A) 0 - 0,3,85,0,0,1,0,0,0,0,0,0,0,0,5,5.8,8.7,31.0,4.6,87691,815803,9.5
Ollie Watkins,Forward,Aston Villa,33,WBA (H) 2 - 2,5,90,0,1,0,2,0,0,0,0,0,0,0,15,11.4,26.9,74.0,11.2,241740,2226442,6.6
Stuart Dallas,Defender,Leeds,33,MUN (H) 0 - 0,6,90,0,0,1,0,0,0,0,0,0,0,0,17,7.4,2.8,10.0,2.0,100870,2103690,5.2
Dominic Calvert-Lewin,Forward,Everton,33,ARS (A) 0 - 1,2,90,0,0,1,0,0,0,0,0,0,0,0,1,3.2,2.7,6.0,1.2,-96708,2231343,7.5
Illan Meslier,Goalkeeper,Leeds,33,MUN (H) 0 - 0,7,90,0,0,1,0,0,0,0,0,0,4,0,28,22.4,0.0,0.0,2.2,14344,566083,4.7
Mason Mount,Midfielder,Chelsea,33,WHU (A) 0 - 1,3,90,0,0,1,0,0,0,0,0,0,0,0,16,36.2,37.7,77.0,15.1,65371,1618371,7.2
Aaron Cresswell,Defender,West Ham,33,CHE (H) 0 - 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-306185,1702499,5.7
Nick Pope,Goalkeeper,Burnley,33,WOL (A) 0 - 4,6,90,0,0,1,0,0,0,0,0,0,2,0,25,15.0,0.0,0.0,1.5,-46165,892111,5.5
Sadio Mané,Midfielder,Liverpool,33,NEW (H) 1 - 1,2,90,0,0,0,1,0,0,0,0,0,0,0,8,8.0,37.0,94.0,13.9,66514,462296,11.7
Jack Harrison,Midfielder,Leeds,33,MUN (H) 0 - 0,3,67,0,0,1,0,0,0,0,0,0,0,0,8,3.8,5.5,2.0,1.1,31911,236503,5.4
Aaron Wan-Bissaka,Defender,Man Utd,33,LEE (A) 0 - 0,9,90,0,0,1,0,0,0,0,0,0,0,3,33,29.2,13.2,0.0,4.2,490,1395640,5.7
Matheus Pereira,Midfielder,West Brom,33,AVL (A) 2 - 2,10,90,1,0,0,2,0,0,0,0,0,0,3,31,46.8,51.3,30.0,12.8,51488,356999,5.4
Tomas Soucek,Midfielder,West Ham,33,CHE (H) 0 - 1,2,90,0,0,0,1,0,0,0,0,0,0,0,8,9.4,4.1,6.0,2.0,-19898,1026133,5.3
Sam Johnstone,Goalkeeper,West Brom,33,AVL (A) 2 - 2,6,90,0,0,0,2,0,0,0,0,0,9,2,29,57.4,0.0,0.0,5.7,13706,237186,4.5
Jarrod Bowen,Midfielder,West Ham,33,CHE (H) 0 - 1,2,90,0,0,0,1,0,0,0,0,0,0,0,2,8.2,17.9,20.0,4.6,32400,256393,6.0
Jack Grealish,Midfielder,Aston Villa,33,WBA (H) 2 - 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-30002,1210095,7.5
Andrew Robertson,Defender,Liverpool,33,NEW (H) 1 - 1,3,90,0,0,0,1,0,0,0,0,0,0,1,23,37.8,51.0,3.0,9.2,58918,1170763,7.1
Edouard Mendy,Goalkeeper,Chelsea,33,WHU (A) 0 - 1,5,90,0,0,1,0,0,0,0,1,0,2,0,21,9.4,0.0,0.0,0.9,-21497,833530,5.2
James Maddison,Midfielder,Leicester,33,CRY (H) 2 - 1,2,69,0,0,0,1,0,0,0,0,0,0,0,11,3.8,16.2,21.0,4.1,151158,616900,7.2
Trent Alexander-Arnold,Defender,Liverpool,33,NEW (H) 1 - 1,2,90,0,0,0,1,0,0,0,0,0,0,0,14,16.0,37.6,10.0,6.4,369605,1747342,7.5
