name,position,team,GW,OPP,Pts,Mins.P,Gls_S,Assists,Cln_Sht,Gls_Csd,Own_gls,Pen_Sc,Pen_Msd,YC,RC,Saves,Bonus,BPS,Inf,Crt,Thrt,ICT,Net_T,SB,price_£
Bruno Miguel Borges Fernandes,Midfielder,Man Utd,28,WHU (H) 1 - 0,3,90,0,0,1,0,0,0,0,0,0,0,0,14,24.8,64.8,35.0,12.5,75377,4669546,11.5
Harry Kane,Forward,Spurs,28,ARS (A) 2 - 1,2,90,0,0,0,2,0,0,0,0,0,0,0,6,3.6,5.4,19.0,2.8,437315,3227334,11.4
Heung-Min Son,Midfielder,Spurs,28,ARS (A) 2 - 1,1,18,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,24495,4476393,9.6
Mohamed Salah,Midfielder,Liverpool,28,WOL (A) 0 - 1,3,90,0,0,1,0,0,0,0,0,0,0,0,-2,2.2,14.5,34.0,5.1,-500304,2659236,12.5
Emiliano Martínez,Goalkeeper,Aston Villa,28,NEW (A) 1 - 1,3,90,0,0,0,1,0,0,0,0,0,3,0,15,23.4,0.0,0.0,2.3,100679,3333120,5.4
Patrick Bamford,Forward,Leeds,28,CHE (H) 0 - 0,1,34,0,0,0,0,0,0,0,0,0,0,0,3,2.2,12.6,0.0,1.5,-75336,4137336,6.8
Jamie Vardy,Forward,Leicester,28,SHU (H) 5 - 0,13,90,0,3,1,0,0,0,0,0,0,0,2,44,47.8,43.6,63.0,15.4,-8979,1632887,10.2
Marcus Rashford,Midfielder,Man Utd,28,WHU (H) 1 - 0,2,90,0,0,1,0,0,0,0,1,0,0,0,5,6.6,29.6,54.0,9.0,-177261,721867,9.6
Ollie Watkins,Forward,Aston Villa,28,NEW (A) 1 - 1,5,90,0,1,0,1,0,0,0,0,0,0,0,9,5.4,14.4,27.0,4.7,-11850,2170316,6.6
Stuart Dallas,Defender,Leeds,28,CHE (H) 0 - 0,6,90,0,0,1,0,0,0,0,0,0,0,0,23,8.4,11.6,0.0,2.0,11067,1762919,5.0
Dominic Calvert-Lewin,Forward,Everton,28,BUR (H) 1 - 2,6,90,1,0,0,2,0,0,0,0,0,0,0,18,29.8,3.5,68.0,10.1,-92709,3188325,7.7
Illan Meslier,Goalkeeper,Leeds,28,CHE (H) 0 - 0,11,90,0,0,1,0,0,0,0,0,0,8,3,39,60.4,0.0,0.0,6.0,11189,464328,4.6
Ederson Santana de Moraes,Goalkeeper,Man City,28,FUL (A) 0 - 3,6,90,0,0,1,0,0,0,0,0,0,0,0,26,4.2,0.0,0.0,0.4,-21209,811977,6.1
Ilkay Gündogan,Midfielder,Man City,28,FUL (A) 0 - 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,51783,3174182,6.2
James Ward-Prowse,Midfielder,Southampton,28,BHA (H) 1 - 2,2,90,0,0,0,2,0,0,0,0,0,0,0,9,10.0,3.0,27.0,4.0,144016,876255,5.9
Mason Mount,Midfielder,Chelsea,28,LEE (A) 0 - 0,3,78,0,0,1,0,0,0,0,0,0,0,0,11,14.6,25.5,7.0,4.7,277165,1211119,7.0
Raheem Sterling,Midfielder,Man City,28,FUL (A) 0 - 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-167584,684661,11.5
Aaron Cresswell,Defender,West Ham,28,MUN (A) 1 - 0,2,90,0,0,0,1,0,0,0,0,0,0,0,14,17.2,2.0,0.0,1.9,84034,2124645,5.8
Nick Pope,Goalkeeper,Burnley,28,EVE (A) 1 - 2,2,90,0,0,0,1,0,0,0,1,0,3,0,13,21.0,10.0,0.0,3.1,-43260,1105156,5.6
Sadio Mané,Midfielder,Liverpool,28,WOL (A) 0 - 1,6,90,0,1,1,0,0,0,0,0,0,0,0,19,32.8,22.7,73.0,12.9,-20131,396648,11.8
Rúben Santos Gato Alves Dias,Defender,Man City,28,FUL (A) 0 - 3,6,74,0,0,1,0,0,0,0,0,0,0,0,22,9.6,1.3,0.0,1.1,39611,2029346,6.1
Hugo Lloris,Goalkeeper,Spurs,28,ARS (A) 2 - 1,1,90,0,0,0,2,0,0,0,0,0,1,0,12,10.0,0.0,0.0,1.0,-12871,514574,5.6
Jack Harrison,Midfielder,Leeds,28,CHE (H) 0 - 0,3,63,0,0,1,0,0,0,0,0,0,0,0,6,0.8,0.8,0.0,0.2,-7295,183878,5.4
Riyad Mahrez,Midfielder,Man City,28,FUL (A) 0 - 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,148351,588406,8.1
Aaron Wan-Bissaka,Defender,Man Utd,28,WHU (H) 1 - 0,5,90,0,0,1,0,0,0,0,1,0,0,0,28,17.2,29.0,4.0,5.0,33738,1427406,5.7
Matheus Pereira,Midfielder,West Brom,28,CRY (A) 1 - 0,2,62,0,0,0,1,0,0,0,0,0,0,0,10,9.8,32.7,9.0,5.2,-11915,130611,5.4
