name,position,team,GW,OPP,Pts,Mins.P,Gls_S,Assists,Cln_Sht,Gls_Csd,Own_gls,Pen_Sc,Pen_Msd,YC,RC,Saves,Bonus,BPS,Inf,Crt,Thrt,ICT,Net_T,SB,price_£
Bruno Miguel Borges Fernandes,Midfielder,Man Utd,16,WOL (H) 1 - 0,6,90,0,1,1,0,0,0,0,0,0,0,0,16,35.6,45.2,55.0,13.6,264327,3644822,11.1
Mohamed Salah,Midfielder,Liverpool,16,NEW (A) 0 - 0,3,90,0,0,1,0,0,0,0,0,0,0,0,-5,1.6,3.9,27.0,3.3,79807,3544294,12.6
Emiliano Martínez,Goalkeeper,Aston Villa,16,CHE (A) 1 - 1,3,90,0,0,0,1,0,0,0,0,0,4,0,17,23.0,0.0,0.0,2.3,48683,2272107,5.0
Patrick Bamford,Forward,Leeds,16,WBA (A) 0 - 5,8,90,0,2,1,0,0,0,0,0,0,0,0,27,23.6,11.3,62.0,9.7,212034,3694809,6.5
Jamie Vardy,Forward,Leicester,16,CRY (A) 1 - 1,1,24,0,0,0,0,0,0,0,0,0,0,0,3,1.2,0.2,0.0,0.1,154629,2155237,10.1
Marcus Rashford,Midfielder,Man Utd,16,WOL (H) 1 - 0,7,90,1,0,1,0,0,0,0,1,0,0,0,21,32.6,10.0,38.0,8.1,-21854,654312,9.5
Ollie Watkins,Forward,Aston Villa,16,CHE (A) 1 - 1,2,90,0,0,0,1,0,0,0,0,0,0,0,8,9.6,28.8,7.0,4.5,25893,594186,6.1
Stuart Dallas,Defender,Leeds,16,WBA (A) 0 - 5,12,90,0,1,1,0,0,0,0,0,0,0,3,38,31.2,29.3,12.0,7.3,146112,1008716,4.7
Illan Meslier,Goalkeeper,Leeds,16,WBA (A) 0 - 5,6,90,0,0,1,0,0,0,0,0,0,1,0,25,9.8,0.0,0.0,1.0,38201,475464,4.6
James Ward-Prowse,Midfielder,Southampton,16,WHU (H) 0 - 0,3,90,0,0,1,0,0,0,0,0,0,0,0,15,9.6,21.8,1.0,3.2,-48726,1346373,6.3
Mason Mount,Midfielder,Chelsea,16,AVL (H) 1 - 1,2,90,0,0,0,1,0,0,0,0,0,0,0,11,21.2,45.9,18.0,8.5,-6511,458078,6.9
Aaron Cresswell,Defender,West Ham,16,SOU (A) 0 - 0,6,90,0,0,1,0,0,0,0,0,0,0,0,22,8.6,9.3,2.0,2.0,15432,967983,5.3
Nick Pope,Goalkeeper,Burnley,16,SHU (H) 1 - 0,6,90,0,0,1,0,0,0,0,0,0,2,0,26,16.4,0.0,0.0,1.6,29656,793266,5.4
Sadio Mané,Midfielder,Liverpool,16,NEW (A) 0 - 0,3,90,0,0,1,0,0,0,0,0,0,0,0,3,10.8,19.9,22.0,5.3,22987,623292,11.9
Jack Harrison,Midfielder,Leeds,16,WBA (A) 0 - 5,8,90,1,0,1,0,0,0,0,0,0,0,0,30,40.6,28.0,29.0,9.8,9717,179323,5.4
