name,position,team,GW,OPP,Pts,Mins.P,Gls_S,Assists,Cln_Sht,Gls_Csd,Own_gls,Pen_Sc,Pen_Msd,YC,RC,Saves,Bonus,BPS,Inf,Crt,Thrt,ICT,Net_T,SB,price_£
Bruno Miguel Borges Fernandes,Midfielder,Man Utd,18,BUR (A) 0 - 1,2,88,0,0,1,0,0,0,0,1,0,0,0,13,20.2,30.9,41.0,9.2,271408,4398545,11.3
Harry Kane,Forward,Spurs,18,FUL (H) 1 - 1,8,90,1,0,0,1,0,0,0,0,0,0,2,28,41.6,11.8,36.0,8.9,251254,4087630,11.0
Heung-Min Son,Midfielder,Spurs,18,FUL (H) 1 - 1,2,90,0,0,0,1,0,0,0,0,0,0,0,-4,7.0,7.8,58.0,7.3,93260,5186954,9.8
Marcus Rashford,Midfielder,Man Utd,18,BUR (A) 0 - 1,6,79,0,1,1,0,0,0,0,0,0,0,0,24,21.8,20.2,16.0,5.8,144807,1276859,9.6
Dominic Calvert-Lewin,Forward,Everton,18,WOL (A) 1 - 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-851564,2850579,7.8
Ederson Santana de Moraes,Goalkeeper,Man City,18,BHA (H) 1 - 0,6,90,0,0,1,0,0,0,0,0,0,1,0,24,8.6,0.0,0.0,0.9,-13979,485559,6.0
Ilkay Gündogan,Midfielder,Man City,18,BHA (H) 1 - 0,3,90,0,0,1,0,0,0,0,0,0,0,0,15,11.8,17.3,31.0,6.0,145778,350015,5.4
Raheem Sterling,Midfielder,Man City,18,BHA (H) 1 - 0,-1,8,0,0,0,0,0,0,1,0,0,0,0,-9,0.0,0.3,26.0,2.4,22473,382374,11.4
Nick Pope,Goalkeeper,Burnley,18,MUN (H) 0 - 1,4,90,0,0,0,1,0,0,0,0,0,6,0,22,38.2,0.0,0.0,3.8,-7413,790644,5.4
Rúben Santos Gato Alves Dias,Defender,Man City,18,BHA (H) 1 - 0,7,90,0,0,1,0,0,0,0,0,0,0,1,30,24.6,2.7,2.0,2.9,157268,946169,5.8
Hugo Lloris,Goalkeeper,Spurs,18,FUL (H) 1 - 1,3,90,0,0,0,1,0,0,0,0,0,3,0,13,22.2,0.0,0.0,2.2,75113,883752,5.6
Riyad Mahrez,Midfielder,Man City,18,BHA (H) 1 - 0,3,66,0,0,1,0,0,0,0,0,0,0,0,8,7.2,41.9,8.0,5.7,-19410,317914,8.1
Aaron Wan-Bissaka,Defender,Man Utd,18,BUR (A) 0 - 1,6,90,0,0,1,0,0,0,0,0,0,0,0,24,22.0,13.5,0.0,3.6,179792,1068633,5.3
João Pedro Cavaco Cancelo,Defender,Man City,18,BHA (H) 1 - 0,6,90,0,0,1,0,0,0,0,0,0,0,0,29,18.4,18.8,33.0,7.0,274855,1370771,5.8
Kevin De Bruyne,Midfielder,Man City,18,BHA (H) 1 - 0,6,90,0,1,1,0,0,0,0,0,0,0,0,23,44.6,45.7,89.0,17.9,518842,2880709,11.8
Alexandre Lacazette,Forward,Arsenal,18,CRY (H) 0 - 0,2,80,0,0,1,0,0,0,0,0,0,0,0,7,0.4,3.8,6.0,1.0,277285,1080368,8.3
Lewis Dunk,Defender,Brighton,18,MCI (A) 1 - 0,2,90,0,0,0,1,0,0,0,0,0,0,0,14,8.6,0.8,0.0,0.9,1105,201296,4.8
