name,position,team,GW,OPP,Pts,Mins.P,Gls_S,Assists,Cln_Sht,Gls_Csd,Own_gls,Pen_Sc,Pen_Msd,YC,RC,Saves,Bonus,BPS,Inf,Crt,Thrt,ICT,Net_T,SB,price_£
Bruno Miguel Borges Fernandes,Midfielder,Man Utd,10,SOU (A) 2 - 3,10,90,1,1,0,2,0,0,0,0,0,0,0,26,35.6,20.1,54.0,11.0,241785,2832510,10.8
Harry Kane,Forward,Spurs,10,CHE (A) 0 - 0,2,90,0,0,1,0,0,0,0,0,0,0,0,3,5.2,25.3,11.0,4.2,-142038,3210982,11.0
Heung-Min Son,Midfielder,Spurs,10,CHE (A) 0 - 0,3,90,0,0,1,0,0,0,0,0,0,0,0,12,2.8,12.9,4.0,2.0,68310,4320890,9.5
Mohamed Salah,Midfielder,Liverpool,10,BHA (A) 1 - 1,6,63,0,1,1,0,0,0,0,0,0,0,0,11,15.4,14.4,4.0,3.4,56393,2222608,12.2
Emiliano Martínez,Goalkeeper,Aston Villa,10,WHU (A) 2 - 1,1,90,0,0,0,2,0,0,0,0,0,0,0,9,3.6,0.0,0.0,0.4,-17390,2056118,4.8
Patrick Bamford,Forward,Leeds,10,EVE (A) 0 - 1,2,90,0,0,1,0,0,0,0,0,0,0,0,0,1.0,24.3,69.0,9.4,2181,2680255,6.1
Jamie Vardy,Forward,Leicester,10,FUL (H) 1 - 2,5,90,0,1,0,2,0,0,0,0,0,0,0,14,22.0,10.9,60.0,9.3,363213,2181811,10.2
Marcus Rashford,Midfielder,Man Utd,10,SOU (A) 2 - 3,5,90,0,1,0,2,0,0,0,0,0,0,0,18,29.8,38.8,35.0,10.4,-37712,528919,9.5
Ollie Watkins,Forward,Aston Villa,10,WHU (A) 2 - 1,0,90,0,0,0,2,0,0,1,0,0,0,0,-10,0.0,12.8,22.0,2.9,28844,725709,6.1
Stuart Dallas,Defender,Leeds,10,EVE (A) 0 - 1,8,90,0,0,1,0,0,0,0,0,0,0,2,32,16.4,38.3,2.0,5.7,2568,442509,4.5
Dominic Calvert-Lewin,Forward,Everton,10,LEE (H) 0 - 1,2,90,0,0,0,1,0,0,0,0,0,0,0,13,11.2,28.2,38.0,7.7,205723,4592948,7.9
Illan Meslier,Goalkeeper,Leeds,10,EVE (A) 0 - 1,11,90,0,0,1,0,0,0,0,0,0,8,3,38,51.6,0.0,0.0,5.2,-1702,301635,4.5
Ederson Santana de Moraes,Goalkeeper,Man City,10,BUR (H) 5 - 0,6,90,0,0,1,0,0,0,0,0,0,1,0,26,12.4,0.0,0.0,1.2,1671,432941,6.0
Ilkay Gündogan,Midfielder,Man City,10,BUR (H) 5 - 0,3,90,0,0,1,0,0,0,0,0,0,0,0,17,14.6,27.8,1.0,4.3,-499,20177,5.4
James Ward-Prowse,Midfielder,Southampton,10,MUN (H) 2 - 3,11,90,1,1,0,3,0,0,0,1,0,0,2,41,70.0,27.4,7.0,10.4,27878,540026,6.0
Mason Mount,Midfielder,Chelsea,10,TOT (H) 0 - 0,2,90,0,0,1,0,0,0,0,1,0,0,0,8,9.0,20.3,8.0,3.7,4921,343508,6.8
Raheem Sterling,Midfielder,Man City,10,BUR (H) 5 - 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5480,365304,11.5
Aaron Cresswell,Defender,West Ham,10,AVL (H) 2 - 1,2,90,0,0,0,1,0,0,0,0,0,0,0,8,14.6,4.3,0.0,1.9,105082,799406,5.2
Nick Pope,Goalkeeper,Burnley,10,MCI (A) 5 - 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-45982,747055,5.4
Sadio Mané,Midfielder,Liverpool,10,BHA (A) 1 - 1,1,26,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.2,0.0,0.0,-50495,920989,12.1
Rúben Santos Gato Alves Dias,Defender,Man City,10,BUR (H) 5 - 0,6,69,0,0,1,0,0,0,0,0,0,0,0,24,17.0,1.1,4.0,2.2,34295,185849,5.5
Hugo Lloris,Goalkeeper,Spurs,10,CHE (A) 0 - 0,10,90,0,0,1,0,0,0,0,0,0,3,3,31,18.8,0.0,0.0,1.9,-2882,399842,5.5
Jack Harrison,Midfielder,Leeds,10,EVE (A) 0 - 1,6,88,0,1,1,0,0,0,0,0,0,0,0,6,21.4,26.7,44.0,9.2,-5299,116174,5.5
Riyad Mahrez,Midfielder,Man City,10,BUR (H) 5 - 0,21,90,3,0,1,0,0,0,0,0,0,0,3,73,118.4,75.6,101.0,29.5,7246,178758,8.2
Aaron Wan-Bissaka,Defender,Man Utd,10,SOU (A) 2 - 3,1,90,0,0,0,2,0,0,0,0,0,0,0,15,18.8,16.4,0.0,3.5,-29575,655146,5.4
Matheus Pereira,Midfielder,West Brom,10,SHU (H) 1 - 0,2,90,0,0,1,0,0,0,0,1,0,0,0,17,22.8,123.9,21.0,16.8,-4835,101361,5.8
Tomas Soucek,Midfielder,West Ham,10,AVL (H) 2 - 1,2,90,0,0,0,1,0,0,0,0,0,0,0,7,8.4,1.5,18.0,2.8,31625,259122,4.9
Sam Johnstone,Goalkeeper,West Brom,10,SHU (H) 1 - 0,11,90,0,0,1,0,0,0,0,0,0,6,3,33,39.8,0.0,0.0,4.0,15649,97761,4.5
