name,position,team,GW,OPP,Pts,Mins.P,Gls_S,Assists,Cln_Sht,Gls_Csd,Own_gls,Pen_Sc,Pen_Msd,YC,RC,Saves,Bonus,BPS,Inf,Crt,Thrt,ICT,Net_T,SB,price_£
Harry Kane,Forward,Spurs,29,AVL (A) 0 - 2,7,90,1,0,1,0,0,0,0,0,0,0,1,25,42.0,3.4,43.0,8.8,425113,3818291,11.5
Heung-Min Son,Midfielder,Spurs,29,AVL (A) 0 - 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-665749,3660152,9.5
Emiliano Martínez,Goalkeeper,Aston Villa,29,TOT (H) 0 - 2,1,90,0,0,0,2,0,0,0,0,0,1,0,8,8.2,0.0,0.0,0.8,35862,3360139,5.4
Patrick Bamford,Forward,Leeds,29,FUL (A) 1 - 2,11,76,1,1,0,1,0,0,0,1,0,0,3,39,57.4,13.9,23.0,9.4,-193158,3872622,6.7
Ollie Watkins,Forward,Aston Villa,29,TOT (H) 0 - 2,2,90,0,0,0,2,0,0,0,0,0,0,0,2,1.0,3.3,28.0,3.2,102959,2291610,6.6
Stuart Dallas,Defender,Leeds,29,FUL (A) 1 - 2,2,90,0,0,0,1,0,0,0,0,0,0,0,10,16.2,6.3,8.0,3.1,297031,2229746,5.1
Illan Meslier,Goalkeeper,Leeds,29,FUL (A) 1 - 2,3,90,0,0,0,1,0,0,0,0,0,5,0,21,33.2,0.0,0.0,3.3,89468,635280,4.6
Aaron Cresswell,Defender,West Ham,29,ARS (H) 3 - 3,0,90,0,0,0,3,0,0,0,1,0,0,0,8,10.4,12.7,0.0,2.3,204684,2475507,5.9
Hugo Lloris,Goalkeeper,Spurs,29,AVL (A) 0 - 2,6,90,0,0,1,0,0,0,0,0,0,1,0,22,7.6,0.0,0.0,0.8,16364,557542,5.6
Jack Harrison,Midfielder,Leeds,29,FUL (A) 1 - 2,7,90,0,1,0,1,0,0,0,0,0,0,2,32,34.4,23.5,23.0,8.1,61048,274324,5.4
Tomas Soucek,Midfielder,West Ham,29,ARS (H) 3 - 3,5,90,1,0,0,3,1,0,0,0,0,0,0,18,46.0,12.3,62.0,12.0,91587,1211452,5.3
Jarrod Bowen,Midfielder,West Ham,29,ARS (H) 3 - 3,8,73,1,0,0,2,0,0,0,0,0,0,1,24,35.8,3.3,37.0,7.6,11076,146921,5.9
Jack Grealish,Midfielder,Aston Villa,29,TOT (H) 0 - 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-62123,1446685,7.5
Alexandre Lacazette,Forward,Arsenal,29,WHU (A) 3 - 3,11,90,1,1,0,3,0,0,0,1,0,0,3,37,40.8,31.4,66.0,13.8,160752,620867,8.1
Lewis Dunk,Defender,Brighton,29,NEW (H) 3 - 0,6,90,0,0,1,0,0,0,0,0,0,0,0,26,12.8,0.9,20.0,3.4,312652,1025694,5.0
Matt Targett,Defender,Aston Villa,29,TOT (H) 0 - 2,0,90,0,0,0,2,0,0,0,1,0,0,0,14,17.8,27.3,2.0,4.7,38760,1263030,5.1
Callum Wilson,Forward,Newcastle,29,BHA (A) 3 - 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-11936,446281,6.5
