name,position,team,GW,OPP,Pts,Mins.P,Gls_S,Assists,Cln_Sht,Gls_Csd,Own_gls,Pen_Sc,Pen_Msd,YC,RC,Saves,Bonus,BPS,Inf,Crt,Thrt,ICT,Net_T,SB,price_£
Bruno Miguel Borges Fernandes,Midfielder,Man Utd,19,LIV (A) 0 - 0,3,88,0,0,1,0,0,0,0,0,0,0,0,3,7.4,24.5,47.0,7.9,-12831,4139736,11.3
Bruno Miguel Borges Fernandes,Midfielder,Man Utd,19,FUL (A) 1 - 2,5,90,0,1,0,1,0,0,0,0,0,0,0,20,13.8,37.2,23.0,7.4,-12831,4139736,11.3
Harry Kane,Forward,Spurs,19,SHU (A) 1 - 3,9,90,1,0,0,1,0,0,0,0,0,0,3,41,55.6,50.3,49.0,15.5,-208661,3221390,11.1
Heung-Min Son,Midfielder,Spurs,19,SHU (A) 1 - 3,5,90,0,1,0,1,0,0,0,0,0,0,0,17,20.6,41.9,34.0,9.7,-473686,4372039,9.7
Mohamed Salah,Midfielder,Liverpool,19,MUN (H) 0 - 0,3,90,0,0,1,0,0,0,0,0,0,0,0,6,7.2,28.4,45.0,8.1,89606,3168283,12.5
Mohamed Salah,Midfielder,Liverpool,19,BUR (H) 0 - 1,1,33,0,0,0,1,0,0,0,0,0,0,0,2,5.8,14.6,47.0,6.7,89606,3168283,12.5
Emiliano Martínez,Goalkeeper,Aston Villa,19,MCI (A) 2 - 0,3,90,0,0,0,2,0,0,0,0,0,7,0,25,53.2,10.0,0.0,6.3,92429,2466933,5.1
Emiliano Martínez,Goalkeeper,Aston Villa,19,NEW (H) 2 - 0,6,90,0,0,1,0,0,0,0,0,0,1,0,26,11.0,0.0,0.0,1.1,92429,2466933,5.1
Patrick Bamford,Forward,Leeds,19,BHA (H) 0 - 1,2,90,0,0,0,1,0,0,0,0,0,0,0,4,0.0,10.3,8.0,1.8,130650,3782343,6.6
Jamie Vardy,Forward,Leicester,19,SOU (H) 2 - 0,2,90,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.8,75.0,7.5,293110,2377973,10.1
Jamie Vardy,Forward,Leicester,19,CHE (H) 2 - 0,2,87,0,0,1,0,0,0,0,0,0,0,0,4,3.2,10.1,21.0,3.4,293110,2377973,10.1
Marcus Rashford,Midfielder,Man Utd,19,LIV (A) 0 - 0,2,90,0,0,1,0,0,0,0,1,0,0,0,-2,0.0,1.4,14.0,1.5,52232,1016925,9.6
Marcus Rashford,Midfielder,Man Utd,19,FUL (A) 1 - 2,1,5,0,0,0,0,0,0,0,0,0,0,0,4,1.4,0.6,4.0,0.6,52232,1016925,9.6
Ollie Watkins,Forward,Aston Villa,19,MCI (A) 2 - 0,2,90,0,0,0,2,0,0,0,0,0,0,0,6,8.2,12.3,10.0,3.1,232687,886338,6.1
Ollie Watkins,Forward,Aston Villa,19,NEW (H) 2 - 0,6,90,1,0,1,0,0,0,0,0,0,0,0,29,41.8,17.2,58.0,11.7,232687,886338,6.1
Stuart Dallas,Defender,Leeds,19,BHA (H) 0 - 1,2,90,0,0,0,1,0,0,0,0,0,0,0,13,8.2,3.1,2.0,1.3,-24687,1135672,4.8
Illan Meslier,Goalkeeper,Leeds,19,BHA (H) 0 - 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,14028,517440,4.7
Ederson Santana de Moraes,Goalkeeper,Man City,19,CRY (H) 4 - 0,6,90,0,0,1,0,0,0,0,0,0,0,0,19,2.0,0.0,0.0,0.2,74840,543376,6.0
Ederson Santana de Moraes,Goalkeeper,Man City,19,AVL (H) 2 - 0,7,90,0,0,1,0,0,0,0,0,0,4,0,27,20.4,0.0,0.0,2.0,74840,543376,6.0
Ilkay Gündogan,Midfielder,Man City,19,CRY (H) 4 - 0,8,70,1,0,1,0,0,0,0,0,0,0,0,32,36.2,27.7,22.0,8.6,64588,243089,5.5
Ilkay Gündogan,Midfielder,Man City,19,AVL (H) 2 - 0,10,90,1,0,1,0,0,0,0,0,0,0,2,31,42.2,30.3,84.0,15.7,64588,243089,5.5
James Ward-Prowse,Midfielder,Southampton,19,LEI (A) 2 - 0,2,90,0,0,0,2,0,0,0,0,0,0,0,9,3.0,17.3,4.0,2.4,-137714,863547,6.2
Mason Mount,Midfielder,Chelsea,19,FUL (A) 0 - 1,11,90,1,0,1,0,0,0,0,0,0,0,3,42,58.6,94.7,59.0,21.2,15882,404660,6.8
Mason Mount,Midfielder,Chelsea,19,LEI (A) 2 - 0,2,90,0,0,0,2,0,0,0,0,0,0,0,15,29.0,57.4,1.0,8.7,15882,404660,6.8
Raheem Sterling,Midfielder,Man City,19,CRY (H) 4 - 0,8,90,1,0,1,0,0,0,0,0,0,0,0,25,41.8,6.2,37.0,8.5,-8383,336494,11.4
Raheem Sterling,Midfielder,Man City,19,AVL (H) 2 - 0,3,71,0,0,1,0,0,0,0,0,0,0,0,3,2.4,24.2,44.0,7.1,-8383,336494,11.4
Aaron Cresswell,Defender,West Ham,19,BUR (H) 1 - 0,8,90,0,0,1,0,0,0,0,0,0,0,2,26,14.4,3.5,0.0,1.8,286229,1432683,5.4
Aaron Cresswell,Defender,West Ham,19,WBA (H) 2 - 1,2,90,0,0,0,1,0,0,0,0,0,0,0,14,25.0,43.0,0.0,6.8,286229,1432683,5.4
Nick Pope,Goalkeeper,Burnley,19,WHU (A) 1 - 0,2,90,0,0,0,1,0,0,0,0,0,2,0,14,15.4,0.0,0.0,1.5,-3312,828354,5.4
Nick Pope,Goalkeeper,Burnley,19,LIV (A) 0 - 1,11,90,0,0,1,0,0,0,0,0,0,6,3,38,48.8,0.0,0.0,4.9,-3312,828354,5.4
Sadio Mané,Midfielder,Liverpool,19,MUN (H) 0 - 0,3,90,0,0,1,0,0,0,0,0,0,0,0,9,12.4,24.8,28.0,6.5,21570,590434,11.9
Sadio Mané,Midfielder,Liverpool,19,BUR (H) 0 - 1,2,90,0,0,0,1,0,0,0,0,0,0,0,21,24.8,102.0,50.0,17.7,21570,590434,11.9
Rúben Santos Gato Alves Dias,Defender,Man City,19,CRY (H) 4 - 0,11,90,0,1,1,0,0,0,0,0,0,0,2,38,29.0,3.7,17.0,5.0,154332,891459,5.8
Rúben Santos Gato Alves Dias,Defender,Man City,19,AVL (H) 2 - 0,7,90,0,0,1,0,0,0,0,0,0,0,1,29,26.6,0.7,35.0,6.2,154332,891459,5.8
Hugo Lloris,Goalkeeper,Spurs,19,SHU (A) 1 - 3,3,90,0,0,0,1,0,0,0,0,0,4,0,20,25.4,0.0,0.0,2.5,-32761,585592,5.6
Jack Harrison,Midfielder,Leeds,19,BHA (H) 0 - 1,2,90,0,0,0,1,0,0,0,0,0,0,0,11,11.0,11.5,20.0,4.3,-12860,190489,5.4
Riyad Mahrez,Midfielder,Man City,19,CRY (H) 4 - 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-29133,272796,8.1
Riyad Mahrez,Midfielder,Man City,19,AVL (H) 2 - 0,1,18,0,0,0,0,0,0,0,0,0,0,0,5,4.2,18.8,6.0,2.9,-29133,272796,8.1
Aaron Wan-Bissaka,Defender,Man Utd,19,LIV (A) 0 - 0,6,90,0,0,1,0,0,0,0,0,0,0,0,22,20.2,1.1,2.0,2.3,19541,760075,5.4
Aaron Wan-Bissaka,Defender,Man Utd,19,FUL (A) 1 - 2,2,90,0,0,0,1,0,0,0,0,0,0,0,14,22.8,21.0,6.0,5.0,19541,760075,5.4
Matheus Pereira,Midfielder,West Brom,19,WOL (A) 2 - 3,15,81,2,0,0,2,0,0,0,0,0,0,3,48,74.0,24.4,41.0,13.9,275,50842,5.6
Matheus Pereira,Midfielder,West Brom,19,WHU (A) 2 - 1,9,90,1,0,0,2,0,0,0,0,0,0,2,29,37.2,3.5,15.0,5.6,275,50842,5.6
Tomas Soucek,Midfielder,West Ham,19,BUR (H) 1 - 0,2,90,0,0,1,0,0,0,0,1,0,0,0,14,22.4,2.0,4.0,2.8,502120,1623913,5.3
Tomas Soucek,Midfielder,West Ham,19,WBA (H) 2 - 1,2,90,0,0,0,1,0,0,0,0,0,0,0,9,12.6,16.1,4.0,3.3,502120,1623913,5.3
Sam Johnstone,Goalkeeper,West Brom,19,WOL (A) 2 - 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,37678,243234,4.5
Sam Johnstone,Goalkeeper,West Brom,19,WHU (A) 2 - 1,2,90,0,0,0,2,0,0,0,0,0,4,0,17,30.2,0.0,0.0,3.0,37678,243234,4.5
Jarrod Bowen,Midfielder,West Ham,19,BUR (H) 1 - 0,3,81,0,0,1,0,0,0,0,0,0,0,0,5,8.8,33.5,16.0,5.8,2196,268223,6.3
Jarrod Bowen,Midfielder,West Ham,19,WBA (H) 2 - 1,7,90,1,0,0,1,0,0,0,0,0,0,0,20,38.8,2.7,39.0,8.1,2196,268223,6.3
Jack Grealish,Midfielder,Aston Villa,19,MCI (A) 2 - 0,2,90,0,0,0,2,0,0,0,0,0,0,0,15,14.2,34.3,4.0,5.3,-43343,2778647,7.7
Jack Grealish,Midfielder,Aston Villa,19,NEW (H) 2 - 0,6,87,0,1,1,0,0,0,0,0,0,0,0,22,24.4,44.7,24.0,9.3,-43343,2778647,7.7
Andrew Robertson,Defender,Liverpool,19,MUN (H) 0 - 0,6,90,0,0,1,0,0,0,0,0,0,0,0,28,11.6,34.3,6.0,5.2,-17952,1664698,7.4
Andrew Robertson,Defender,Liverpool,19,BUR (H) 0 - 1,2,90,0,0,0,1,0,0,0,0,0,0,0,14,14.0,38.6,35.0,8.8,-17952,1664698,7.4
João Pedro Cavaco Cancelo,Defender,Man City,19,CRY (H) 4 - 0,1,19,0,0,0,0,0,0,0,0,0,0,0,2,1.6,4.1,0.0,0.6,163826,1044525,5.8
João Pedro Cavaco Cancelo,Defender,Man City,19,AVL (H) 2 - 0,7,90,0,0,1,0,0,0,0,0,0,0,1,29,16.4,26.8,25.0,6.8,163826,1044525,5.8
Kevin De Bruyne,Midfielder,Man City,19,CRY (H) 4 - 0,7,70,0,1,1,0,0,0,0,0,0,0,1,33,33.4,61.1,31.0,12.6,395204,2481098,11.8
Kevin De Bruyne,Midfielder,Man City,19,AVL (H) 2 - 0,1,58,0,0,0,0,0,0,0,0,0,0,0,10,10.0,40.4,27.0,7.7,395204,2481098,11.8
Edouard Mendy,Goalkeeper,Chelsea,19,FUL (A) 0 - 1,6,90,0,0,1,0,0,0,0,0,0,2,0,22,12.0,0.0,0.0,1.2,30143,571270,5.1
