name,position,team,GW,OPP,Pts,Mins.P,Gls_S,Assists,Cln_Sht,Gls_Csd,Own_gls,Pen_Sc,Pen_Msd,YC,RC,Saves,Bonus,BPS,Inf,Crt,Thrt,ICT,Net_T,SB,price_£
Bruno Miguel Borges Fernandes,Midfielder,Man Utd,25,NEW (H) 3 - 1,12,90,1,1,0,1,0,0,0,1,0,0,3,41,60.8,43.6,29.0,13.3,41622,4834223,11.6
Harry Kane,Forward,Spurs,25,WHU (A) 2 - 1,2,90,0,0,0,2,0,0,0,0,0,0,0,6,1.8,16.6,57.0,7.5,250424,2020394,11.0
Heung-Min Son,Midfielder,Spurs,25,WHU (A) 2 - 1,2,90,0,0,0,2,0,0,0,0,0,0,0,13,11.4,49.7,19.0,8.0,-125462,4124945,9.5
Mohamed Salah,Midfielder,Liverpool,25,EVE (H) 0 - 2,2,90,0,0,0,2,0,0,0,0,0,0,0,6,11.0,16.7,45.0,7.3,45690,3470984,12.6
Emiliano Martínez,Goalkeeper,Aston Villa,25,LEI (H) 1 - 2,2,90,0,0,0,2,0,0,0,0,0,5,0,15,25.8,0.0,0.0,2.6,85519,2925463,5.3
Patrick Bamford,Forward,Leeds,25,WOL (A) 1 - 0,2,90,0,0,0,1,0,0,0,0,0,0,0,5,4.4,4.8,38.0,4.7,520289,4714323,6.9
Patrick Bamford,Forward,Leeds,25,SOU (H) 3 - 0,6,90,1,0,1,0,0,0,0,0,0,0,0,29,45.8,11.0,30.0,8.7,520289,4714323,6.9
Jamie Vardy,Forward,Leicester,25,AVL (A) 1 - 2,5,90,0,1,0,1,0,0,0,0,0,0,0,13,1.2,1.8,41.0,4.4,212731,1410017,10.1
Marcus Rashford,Midfielder,Man Utd,25,NEW (H) 3 - 1,12,88,1,1,0,1,0,0,0,0,0,0,2,38,42.6,21.3,32.0,9.6,-57795,953612,9.6
Ollie Watkins,Forward,Aston Villa,25,LEI (H) 1 - 2,2,90,0,0,0,2,0,0,0,0,0,0,0,5,10.2,15.8,44.0,7.0,59100,1851381,6.5
Stuart Dallas,Defender,Leeds,25,WOL (A) 1 - 0,2,90,0,0,0,1,0,0,0,0,0,0,0,11,7.4,2.3,0.0,1.0,451580,1752844,5.0
Stuart Dallas,Defender,Leeds,25,SOU (H) 3 - 0,15,90,1,0,1,0,0,0,0,0,0,0,3,38,49.8,11.6,17.0,7.8,451580,1752844,5.0
Dominic Calvert-Lewin,Forward,Everton,25,LIV (A) 0 - 2,4,28,0,1,0,0,0,0,0,0,0,0,0,7,3.0,0.3,11.0,1.4,-472130,2700453,7.7
Illan Meslier,Goalkeeper,Leeds,25,WOL (A) 1 - 0,1,90,0,0,0,1,1,0,0,0,0,5,0,13,26.2,0.0,0.0,2.6,15057,469219,4.7
Illan Meslier,Goalkeeper,Leeds,25,SOU (H) 3 - 0,9,90,0,0,1,0,0,0,0,0,0,5,2,34,42.0,0.0,0.0,4.2,15057,469219,4.7
Ederson Santana de Moraes,Goalkeeper,Man City,25,ARS (A) 0 - 1,6,90,0,0,1,0,0,0,0,0,0,1,0,21,9.0,0.0,0.0,0.9,25426,742803,6.1
Ilkay Gündogan,Midfielder,Man City,25,ARS (A) 0 - 1,3,90,0,0,1,0,0,0,0,0,0,0,0,9,5.8,6.7,41.0,5.4,120613,2511151,6.1
James Ward-Prowse,Midfielder,Southampton,25,CHE (H) 1 - 1,2,90,0,0,0,1,0,0,0,0,0,0,0,8,9.0,19.5,0.0,2.9,86818,709815,6.0
James Ward-Prowse,Midfielder,Southampton,25,LEE (A) 3 - 0,2,90,0,0,0,3,0,0,0,0,0,0,0,20,15.0,30.8,7.0,5.3,86818,709815,6.0
Mason Mount,Midfielder,Chelsea,25,SOU (A) 1 - 1,10,90,1,0,0,1,0,0,0,0,0,0,3,27,40.8,33.9,32.0,10.7,-10150,439700,6.8
Raheem Sterling,Midfielder,Man City,25,ARS (A) 0 - 1,8,90,1,0,1,0,0,0,0,0,0,0,0,28,40.8,19.3,82.0,14.2,-153553,1018956,11.6
Aaron Cresswell,Defender,West Ham,25,TOT (H) 2 - 1,2,90,0,0,0,1,0,0,0,0,0,0,0,18,23.4,19.1,0.0,4.3,58278,2132355,5.8
Nick Pope,Goalkeeper,Burnley,25,WBA (H) 0 - 0,8,90,0,0,1,0,0,0,0,0,0,2,2,26,11.2,0.0,0.0,1.1,194,1272462,5.6
Sadio Mané,Midfielder,Liverpool,25,EVE (H) 0 - 2,1,90,0,0,0,2,0,0,0,1,0,0,0,-4,9.2,17.1,33.0,5.9,-5872,434022,11.8
Rúben Santos Gato Alves Dias,Defender,Man City,25,ARS (A) 0 - 1,7,90,0,0,1,0,0,0,0,0,0,0,1,29,20.8,3.0,0.0,2.4,-30590,1664833,6.1
Hugo Lloris,Goalkeeper,Spurs,25,WHU (A) 2 - 1,1,90,0,0,0,2,0,0,0,0,0,2,0,12,19.6,0.0,0.0,2.0,-16243,501770,5.6
Jack Harrison,Midfielder,Leeds,25,WOL (A) 1 - 0,2,80,0,0,0,1,0,0,0,0,0,0,0,8,7.4,30.1,0.0,3.8,93260,283212,5.5
