name,position,team,GW,OPP,Pts,Mins.P,Gls_S,Assists,Cln_Sht,Gls_Csd,Own_gls,Pen_Sc,Pen_Msd,YC,RC,Saves,Bonus,BPS,Inf,Crt,Thrt,ICT,Net_T,SB,price_£
Bruno Miguel Borges Fernandes,Midfielder,Man Utd,8,EVE (A) 1 - 3,17,90,2,1,0,1,0,0,0,1,0,0,3,51,93.6,21.2,58.0,17.3,-108368,1495550,10.5
Harry Kane,Forward,Spurs,8,WBA (A) 0 - 1,9,90,1,0,1,0,0,0,0,0,0,0,3,40,51.8,50.0,76.0,17.8,194924,3370292,11.0
Heung-Min Son,Midfielder,Spurs,8,WBA (A) 0 - 1,3,90,0,0,1,0,0,0,0,0,0,0,0,8,15.4,23.3,43.0,8.2,161096,4481515,9.6
Mohamed Salah,Midfielder,Liverpool,8,MCI (A) 1 - 1,9,90,1,0,0,1,0,0,0,0,0,0,2,20,40.4,38.0,35.0,11.3,-21187,3473894,12.4
Emiliano Martínez,Goalkeeper,Aston Villa,8,ARS (A) 0 - 3,6,90,0,0,1,0,0,0,0,0,0,2,0,24,20.8,0.0,0.0,2.1,-30823,1957640,4.8
Patrick Bamford,Forward,Leeds,8,CRY (A) 4 - 1,7,90,1,0,0,4,0,0,0,0,0,0,1,28,32.6,2.8,27.0,6.2,130325,2453122,6.0
Jamie Vardy,Forward,Leicester,8,WOL (H) 1 - 0,4,90,1,0,1,0,0,0,1,0,0,0,0,20,39.4,3.1,43.0,8.6,188734,1519006,10.0
Marcus Rashford,Midfielder,Man Utd,8,EVE (A) 1 - 3,5,90,0,1,0,1,0,0,0,0,0,0,0,11,29.8,47.1,32.0,10.9,26468,672502,9.6
Ollie Watkins,Forward,Aston Villa,8,ARS (A) 0 - 3,13,90,2,0,1,0,0,0,0,0,0,0,3,59,71.6,3.5,72.0,14.7,-10736,345608,6.0
Stuart Dallas,Defender,Leeds,8,CRY (A) 4 - 1,0,90,0,0,0,4,0,0,0,0,0,0,0,11,7.4,3.7,6.0,1.7,22375,459111,4.5
Dominic Calvert-Lewin,Forward,Everton,8,MUN (H) 1 - 3,5,90,0,1,0,3,0,0,0,0,0,0,0,12,1.6,7.6,10.0,1.9,28768,4192051,7.7
Illan Meslier,Goalkeeper,Leeds,8,CRY (A) 4 - 1,1,90,0,0,0,4,0,0,0,0,0,3,0,12,18.8,0.0,0.0,1.9,8611,311335,4.5
Ederson Santana de Moraes,Goalkeeper,Man City,8,LIV (H) 1 - 1,3,90,0,0,0,1,0,0,0,0,0,2,1,16,22.0,0.0,0.0,2.2,-10694,428011,6.0
Ilkay Gündogan,Midfielder,Man City,8,LIV (H) 1 - 1,2,90,0,0,0,1,0,0,0,0,0,0,0,13,21.2,15.6,2.0,3.9,-857,19857,5.4
James Ward-Prowse,Midfielder,Southampton,8,NEW (H) 2 - 0,3,90,0,0,1,0,0,0,0,0,0,0,0,13,19.8,36.3,0.0,5.6,348885,534013,5.9
Mason Mount,Midfielder,Chelsea,8,SHU (H) 4 - 1,2,90,0,0,0,1,0,0,0,0,0,0,0,11,16.2,11.6,27.0,5.5,-2678,360234,6.8
Raheem Sterling,Midfielder,Man City,8,LIV (H) 1 - 1,1,90,0,0,0,1,0,0,0,1,0,0,0,4,4.0,4.8,29.0,3.8,-75608,463779,11.6
Aaron Cresswell,Defender,West Ham,8,FUL (H) 1 - 0,6,90,0,0,1,0,0,0,0,0,0,0,0,28,25.0,64.7,8.0,9.8,86430,591798,5.1
Nick Pope,Goalkeeper,Burnley,8,BHA (A) 0 - 0,9,90,0,0,1,0,0,0,0,0,0,3,2,29,30.2,0.0,0.0,3.0,-30039,799072,5.4
Sadio Mané,Midfielder,Liverpool,8,MCI (A) 1 - 1,5,90,0,1,0,1,0,0,0,0,0,0,0,12,6.6,12.3,12.0,3.1,-38091,693494,12.0
Rúben Santos Gato Alves Dias,Defender,Man City,8,LIV (H) 1 - 1,2,90,0,0,0,1,0,0,0,0,0,0,0,13,17.2,0.7,0.0,1.8,5997,125470,5.5
Hugo Lloris,Goalkeeper,Spurs,8,WBA (A) 0 - 1,6,90,0,0,1,0,0,0,0,0,0,2,0,23,17.8,0.0,0.0,1.8,-2285,424304,5.5
Jack Harrison,Midfielder,Leeds,8,CRY (A) 4 - 1,2,90,0,0,0,4,0,0,0,0,0,0,0,8,12.2,21.2,9.0,4.2,-4770,133600,5.5
Riyad Mahrez,Midfielder,Man City,8,LIV (H) 1 - 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-47567,200715,8.3
Aaron Wan-Bissaka,Defender,Man Utd,8,EVE (A) 1 - 3,2,90,0,0,0,1,0,0,0,0,0,0,0,6,11.6,1.6,0.0,1.3,-7702,646278,5.4
Matheus Pereira,Midfielder,West Brom,8,TOT (H) 0 - 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-48937,139822,5.9
Tomas Soucek,Midfielder,West Ham,8,FUL (H) 1 - 0,9,90,1,0,1,0,0,0,0,0,0,0,1,30,55.8,11.3,27.0,9.4,-4788,195640,4.9
Sam Johnstone,Goalkeeper,West Brom,8,TOT (H) 0 - 1,3,90,0,0,0,1,0,0,0,0,0,4,0,16,30.2,0.0,0.0,3.0,-1423,74000,4.5
Jarrod Bowen,Midfielder,West Ham,8,FUL (H) 1 - 0,3,71,0,0,1,0,0,0,0,0,0,0,0,7,1.8,16.3,24.0,4.2,24882,187806,6.3
Jack Grealish,Midfielder,Aston Villa,8,ARS (A) 0 - 3,6,90,0,1,1,0,0,0,0,0,0,0,0,25,24.6,25.8,87.0,13.7,248595,2374506,7.4
Andrew Robertson,Defender,Liverpool,8,MCI (A) 1 - 1,2,90,0,0,0,1,0,0,0,0,0,0,0,13,8.4,12.3,4.0,2.5,-111027,1316396,7.1
